,line,stat,player,league,team,date
0,3.5,Pitcher Strikeouts,Dean Kremer,MLB,BAL,2023-10-10
1,11.5,pitch_outs,Dean Kremer,MLB,BAL,2023-10-10
2,2.0,runs_allowed,Dean Kremer,MLB,BAL,2023-10-10
3,1.5,walks_allowed,Dean Kremer,MLB,BAL,2023-10-10
4,7.0,Hitter Fantasy Score,Adley Rutschman,MLB,BAL,2023-10-10
5,1.5,PTS,Adley Rutschman,MLB,BAL,2023-10-10
6,0.5,Singles,Adley Rutschman,MLB,BAL,2023-10-10
7,7.5,Hitter Fantasy Score,Gunnar Henderson,MLB,BAL,2023-10-10
8,0.5,runs,Gunnar Henderson,MLB,BAL,2023-10-10
9,0.5,Singles,Gunnar Henderson,MLB,BAL,2023-10-10
10,7.0,Hitter Fantasy Score,Anthony Santander,MLB,BAL,2023-10-10
11,1.5,PTS,Anthony Santander,MLB,BAL,2023-10-10
12,7.0,Hitter Fantasy Score,Ryan Mountcastle,MLB,BAL,2023-10-10
13,1.5,PTS,Ryan Mountcastle,MLB,BAL,2023-10-10
14,0.5,Singles,Ryan Mountcastle,MLB,BAL,2023-10-10
15,0.5,Total Bases,Adam Frazier,MLB,BAL,2023-10-10
16,0.5,batter_strikeouts,Adam Frazier,MLB,BAL,2023-10-10
17,0.5,Singles,Ryan O'Hearn,MLB,BAL,2023-10-10
18,24.5,Hitter Fantasy Score,Nathan Eovaldi,MLB,TEX,2023-10-10
19,4.5,Pitcher Strikeouts,Nathan Eovaldi,MLB,TEX,2023-10-10
20,2.0,runs_allowed,Nathan Eovaldi,MLB,TEX,2023-10-10
21,4.5,hits_allowed,Nathan Eovaldi,MLB,TEX,2023-10-10
22,1.5,walks_allowed,Nathan Eovaldi,MLB,TEX,2023-10-10
23,9.5,Hitter Fantasy Score,Corey Seager,MLB,TEX,2023-10-10
24,1.5,Total Bases,Corey Seager,MLB,TEX,2023-10-10
25,2.0,PTS,Corey Seager,MLB,TEX,2023-10-10
26,0.5,runs,Corey Seager,MLB,TEX,2023-10-10
27,0.5,Singles,Corey Seager,MLB,TEX,2023-10-10
28,8.0,Hitter Fantasy Score,Marcus Semien,MLB,TEX,2023-10-10
29,0.5,runs,Marcus Semien,MLB,TEX,2023-10-10
30,0.5,Singles,Marcus Semien,MLB,TEX,2023-10-10
31,7.5,Hitter Fantasy Score,Adolis Garcia,MLB,Adolis Garcia,
32,1.5,PTS,Adolis Garcia,MLB,Adolis Garcia,
33,0.5,runs,Adolis Garcia,MLB,Adolis Garcia,
34,7.5,Hitter Fantasy Score,Josh Jung,MLB,TEX,2023-10-10
35,1.5,PTS,Mitch Garver,MLB,TEX,2023-10-10
36,3.0,Pitcher Strikeouts,Bryce Elder,MLB,ATL,2023-10-11
37,11.5,pitch_outs,Bryce Elder,MLB,ATL,2023-10-11
38,2.5,runs_allowed,Bryce Elder,MLB,ATL,2023-10-11
39,4.0,hits_allowed,Bryce Elder,MLB,ATL,2023-10-11
40,2.0,walks_allowed,Bryce Elder,MLB,ATL,2023-10-11
41,9.5,Hitter Fantasy Score,Ronald Acuna,other,Ronald Acuna,
42,1.5,Total Bases,Ronald Acuna,other,Ronald Acuna,
43,7.0,Hitter Fantasy Score,Matt Olson,MLB,ATL,2023-10-11
44,1.5,PTS,Matt Olson,MLB,ATL,2023-10-11
45,0.5,runs,Matt Olson,MLB,ATL,2023-10-11
46,0.5,Walks Allowed,Matt Olson,MLB,ATL,2023-10-11
47,7.5,Hitter Fantasy Score,Austin Riley,MLB,ATL,2023-10-11
48,1.5,PTS,Austin Riley,MLB,ATL,2023-10-11
49,7.0,Hitter Fantasy Score,Ozzie Albies,MLB,ATL,2023-10-11
50,1.5,PTS,Marcell Ozuna,MLB,ATL,2023-10-11
51,0.5,Total Bases,Eddie Rosario,MLB,ATL,2023-10-11
52,27.5,Hitter Fantasy Score,Aaron Nola,MLB,PHI,2023-10-11
53,5.0,Pitcher Strikeouts,Aaron Nola,MLB,PHI,2023-10-11
54,4.5,hits_allowed,Aaron Nola,MLB,PHI,2023-10-11
55,8.0,Hitter Fantasy Score,Bryce Harper,MLB,PHI,2023-10-11
56,0.5,runs,Bryce Harper,MLB,PHI,2023-10-11
57,0.5,Walks Allowed,Bryce Harper,MLB,PHI,2023-10-11
58,8.5,Hitter Fantasy Score,Trea Turner,MLB,PHI,2023-10-11
59,1.5,Total Bases,Trea Turner,MLB,PHI,2023-10-11
60,2.0,PTS,Trea Turner,MLB,PHI,2023-10-11
61,0.5,runs,Trea Turner,MLB,PHI,2023-10-11
62,1.5,PTS,Kyle Schwarber,MLB,PHI,2023-10-11
63,7.0,Hitter Fantasy Score,Nick Castellanos,MLB,PHI,2023-10-11
64,1.5,PTS,Nick Castellanos,MLB,PHI,2023-10-11
65,7.0,Hitter Fantasy Score,J.T. Realmuto,MLB,PHI,2023-10-11
66,1.5,PTS,J.T. Realmuto,MLB,PHI,2023-10-11
67,2.0,PTS,Alec Bohm,MLB,PHI,2023-10-11
68,1.5,PTS,Bryson Stott,MLB,PHI,2023-10-11
69,0.5,Singles,Bryson Stott,MLB,PHI,2023-10-11
70,0.5,Singles,Johan Rojas,MLB,PHI,2023-10-11
71,19.5,Hitter Fantasy Score,Lance Lynn,MLB,LAD,2023-10-11
72,11.5,pitch_outs,Lance Lynn,MLB,LAD,2023-10-11
73,2.0,runs_allowed,Lance Lynn,MLB,LAD,2023-10-11
74,8.5,Hitter Fantasy Score,Mookie Betts,MLB,LAD,2023-10-11
75,1.5,Total Bases,Mookie Betts,MLB,LAD,2023-10-11
76,2.0,PTS,Mookie Betts,MLB,LAD,2023-10-11
77,0.5,runs,Mookie Betts,MLB,LAD,2023-10-11
78,0.5,Singles,Mookie Betts,MLB,LAD,2023-10-11
79,8.5,Hitter Fantasy Score,Freddie Freeman,MLB,LAD,2023-10-11
80,1.5,Total Bases,Freddie Freeman,MLB,LAD,2023-10-11
81,2.0,PTS,Freddie Freeman,MLB,LAD,2023-10-11
82,0.5,runs,Freddie Freeman,MLB,LAD,2023-10-11
83,1.5,Total Bases,Will Smith,MLB,LAD,2023-10-11
84,2.0,PTS,Will Smith,MLB,LAD,2023-10-11
85,0.5,Singles,Will Smith,MLB,LAD,2023-10-11
86,1.5,PTS,Max Muncy,MLB,LAD,2023-10-11
87,0.5,runs,Max Muncy,MLB,LAD,2023-10-11
88,0.5,Walks Allowed,Max Muncy,MLB,LAD,2023-10-11
89,7.5,Hitter Fantasy Score,J.D. Martinez,MLB,LAD,2023-10-11
90,1.5,PTS,J.D. Martinez,MLB,LAD,2023-10-11
91,0.5,batter_strikeouts,Jason Heyward,MLB,LAD,2023-10-11
92,0.5,batter_strikeouts,David Peralta,MLB,LAD,2023-10-11
93,0.5,Singles,Miguel Rojas,MLB,LAD,2023-10-11
94,3.5,Pitcher Strikeouts,Brandon Pfaadt,MLB,ARI,2023-10-11
95,12.0,pitch_outs,Brandon Pfaadt,MLB,ARI,2023-10-11
96,2.0,runs_allowed,Brandon Pfaadt,MLB,ARI,2023-10-11
97,10.0,Hitter Fantasy Score,Corbin Carroll,MLB,ARI,2023-10-11
98,2.0,PTS,Corbin Carroll,MLB,ARI,2023-10-11
99,0.5,runs,Corbin Carroll,MLB,ARI,2023-10-11
100,0.5,Singles,Corbin Carroll,MLB,ARI,2023-10-11
101,8.0,Hitter Fantasy Score,Ketel Marte,MLB,ARI,2023-10-11
102,0.5,runs,Ketel Marte,MLB,ARI,2023-10-11
103,0.5,Singles,Ketel Marte,MLB,ARI,2023-10-11
104,8.0,Hitter Fantasy Score,Christian Walker,MLB,ARI,2023-10-11
105,1.5,PTS,Christian Walker,MLB,ARI,2023-10-11
106,1.5,PTS,Tommy Pham,MLB,ARI,2023-10-11
107,0.5,Singles,Tommy Pham,MLB,ARI,2023-10-11
108,1.5,PTS,Gabriel Moreno,MLB,ARI,2023-10-11
109,0.5,Singles,Gabriel Moreno,MLB,ARI,2023-10-11
110,0.5,Total Bases,Evan Longoria,MLB,ARI,2023-10-11
111,0.5,Total Bases,Geraldo Perdomo,MLB,ARI,2023-10-11
112,1.5,PTS,Lourdes Gurriel Jr.,other,ARI,2023-10-11
113,0.5,Singles,Alek Thomas,MLB,ARI,2023-10-11
114,0.5,PTS,Filip Forsberg,NHL,NSH,2023-10-10
115,3.0,Goal Against,Juuse Saros,NHLSZN,c9d40440-587d-4874-bb38-e23dc4b381d6,
116,30.5,Goalie Saves,Juuse Saros,NHLSZN,c9d40440-587d-4874-bb38-e23dc4b381d6,
117,6.55,Hitter Fantasy Score,Filip Forsberg,NHL,NSH,2023-10-10
118,12.55,Hitter Fantasy Score,Juuse Saros,NHLSZN,c9d40440-587d-4874-bb38-e23dc4b381d6,
119,0.5,PTS,Roman Josi,NHL,NSH,2023-10-10
120,3.5,Shots,Roman Josi,NHL,NSH,2023-10-10
121,8.55,Hitter Fantasy Score,Roman Josi,NHL,NSH,2023-10-10
122,0.5,PTS,Thomas Novak,NHL,NSH,2023-10-10
123,0.5,PTS,Ryan O'Reilly,NHL,NSH,2023-10-10
124,5.05,Hitter Fantasy Score,Tyson Barrie,NHL,NSH,2023-10-10
125,6.05,Hitter Fantasy Score,Ryan O'Reilly,NHL,NSH,2023-10-10
126,2.5,Goal Against,Jonas Johansson,NHL,TB,2023-10-10
127,26.5,Goalie Saves,Jonas Johansson,NHL,TB,2023-10-10
128,0.5,AST,Steven Stamkos,NHLSZN,d8c2361e-83b1-4b77-952f-3ac010803e43,
129,0.5,power_play_points,Steven Stamkos,NHLSZN,d8c2361e-83b1-4b77-952f-3ac010803e43,
130,8.55,Hitter Fantasy Score,Steven Stamkos,NHLSZN,d8c2361e-83b1-4b77-952f-3ac010803e43,
131,3.5,Shots,Nikita Kucherov,NHLSZN,d8c2361e-83b1-4b77-952f-3ac010803e43,
132,0.5,power_play_points,Nikita Kucherov,NHLSZN,d8c2361e-83b1-4b77-952f-3ac010803e43,
133,11.05,Hitter Fantasy Score,Nikita Kucherov,NHLSZN,d8c2361e-83b1-4b77-952f-3ac010803e43,
134,0.5,PTS,Victor Hedman,NHL,TB,2023-10-10
135,2.5,Shots,Victor Hedman,NHL,TB,2023-10-10
136,2.0,Shots,Anthony Cirelli,NHL,TB,2023-10-10
137,8.05,Hitter Fantasy Score,Brayden Point,NHLSZN,d8c2361e-83b1-4b77-952f-3ac010803e43,
138,7.55,Hitter Fantasy Score,Victor Hedman,NHL,TB,2023-10-10
139,3.5,Goal Against,Petr Mrazek,NHLSZN,77b5276a-e527-4cf1-9278-a2e9c3e7671c,
140,31.5,Goalie Saves,Petr Mrazek,NHLSZN,77b5276a-e527-4cf1-9278-a2e9c3e7671c,
141,10.05,Hitter Fantasy Score,Petr Mrazek,NHLSZN,77b5276a-e527-4cf1-9278-a2e9c3e7671c,
142,6.55,Hitter Fantasy Score,Andreas Athanasiou,NHL,CHI,2023-10-10
143,3.5,Shots,Connor Bedard,NHLSZN,77b5276a-e527-4cf1-9278-a2e9c3e7671c,
144,7.05,Hitter Fantasy Score,Connor Bedard,NHLSZN,77b5276a-e527-4cf1-9278-a2e9c3e7671c,
145,0.5,PTS,Taylor Hall,NHL,CHI,2023-10-10
146,2.0,Shots,Tyler Johnson,NHL,CHI,2023-10-10
147,6.05,Hitter Fantasy Score,Tyler Johnson,NHL,CHI,2023-10-10
148,6.05,Hitter Fantasy Score,Taylor Hall,NHL,CHI,2023-10-10
149,24.5,Goalie Saves,Tristan Jarry,NHLSZN,e90c0702-9653-4cd0-984b-85a5e910ed2c,
150,12.05,Hitter Fantasy Score,Tristan Jarry,NHLSZN,e90c0702-9653-4cd0-984b-85a5e910ed2c,
151,0.5,AST,Sidney Crosby,NHLSZN,e90c0702-9653-4cd0-984b-85a5e910ed2c,
152,3.0,Shots,Sidney Crosby,NHLSZN,e90c0702-9653-4cd0-984b-85a5e910ed2c,
153,8.55,Hitter Fantasy Score,Sidney Crosby,NHLSZN,e90c0702-9653-4cd0-984b-85a5e910ed2c,
154,0.5,AST,Kris Letang,NHL,PIT,2023-10-10
155,2.5,Shots,Kris Letang,NHL,PIT,2023-10-10
156,8.05,Hitter Fantasy Score,Kris Letang,NHL,PIT,2023-10-10
157,0.5,AST,Evgeni Malkin,NHL,PIT,2023-10-10
158,7.55,Hitter Fantasy Score,Evgeni Malkin,NHL,PIT,2023-10-10
159,0.5,PTS,Reilly Smith,NHL,PIT,2023-10-10
160,0.5,PTS,Bryan Rust,NHL,PIT,2023-10-10
161,0.5,AST,Jake Guentzel,NHL,PIT,2023-10-10
162,2.5,Shots,Erik Karlsson,NHL,PIT,2023-10-10
163,2.0,Shots,Reilly Smith,NHL,PIT,2023-10-10
164,2.5,Shots,Bryan Rust,NHL,PIT,2023-10-10
165,3.0,Shots,Jake Guentzel,NHL,PIT,2023-10-10
166,7.55,Hitter Fantasy Score,Rickard Rakell,NHL,PIT,2023-10-10
167,8.55,Hitter Fantasy Score,Jake Guentzel,NHL,PIT,2023-10-10
168,8.05,Hitter Fantasy Score,Erik Karlsson,NHL,PIT,2023-10-10
169,26.5,Goalie Saves,Philipp Grubauer,NHLSZN,824bf296-31d5-4930-8c3d-03aa7f4129b4,
170,11.05,Hitter Fantasy Score,Philipp Grubauer,NHLSZN,824bf296-31d5-4930-8c3d-03aa7f4129b4,
171,0.5,PTS,Jordan Eberle,NHL,SEA,2023-10-10
172,0.5,PTS,Jaden Schwartz,NHL,SEA,2023-10-10
173,0.5,PTS,Matty Beniers,NHL,SEA,2023-10-10
174,0.5,PTS,Jared McCann,NHL,SEA,2023-10-10
175,0.5,PTS,Vince Dunn,NHL,SEA,2023-10-10
176,2.0,Shots,Matty Beniers,NHL,SEA,2023-10-10
177,2.5,Shots,Oliver Bjorkstrand,NHL,SEA,2023-10-10
178,6.05,Hitter Fantasy Score,Oliver Bjorkstrand,NHL,SEA,2023-10-10
179,5.05,Hitter Fantasy Score,Andre Burakovsky,NHL,SEA,2023-10-10
180,6.55,Hitter Fantasy Score,Jaden Schwartz,NHL,SEA,2023-10-10
181,7.05,Hitter Fantasy Score,Jared McCann,NHL,SEA,2023-10-10
182,6.05,Hitter Fantasy Score,Yanni Gourde,NHL,SEA,2023-10-10
