,player,opp,line,stat,league,date,scrape_time
0,Tyreek Hill,Weeks 6-9,405.5,Receiving Yards,263,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
1,Travis Kelce,Weeks 6-9,26.5,Receptions,263,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
2,Isiah Pacheco,Weeks 6-9,2.5,Rush TDs,263,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
3,Bijan Robinson,Weeks 6-9,299.5,Rush Yards,263,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
4,Lexi Thompson,TPC Summerlin  RD 1,2.5,Birdies Or Better,1,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
5,Lebron James,2023-2024 Season,0.5,50+ Point Games,173,2023-10-24 00:00:00-05:00,2023-10-11 14:27:00-05:00
6,Milton Doyle,Illawarra Hawks,28.5,PTS+TRB+AST,238,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
7,Breanna Stewart,LVA,24.0,PTS+AST,3,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
8,Hubert Hurkacz,F. Marozsan (Shanghai),10.0,1st Set - Total Games,244,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
9,Ludvig Aberg,RD1,14.5,Greens In Regulation,1,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
10,Lebron James,2023-2024 Season,7.9,Rebounds Per Game AVG,173,2023-10-24 00:00:00-05:00,2023-10-11 14:27:00-05:00
11,Aaron Nola + Auston Matthews,ATL/MTL,9.5,Strikeouts + Shots On Goal,266,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
12,Hubert Hurkacz,F. Marozsan (Shanghai),10.0,2nd Set - Total Games,244,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
13,DelBisky,MLT Esports GC (MAPS 1-2 Kills),36.0,MAPS 1-2 Kills,159,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
14,Hubert Hurkacz,F. Marozsan (Shanghai),5.5,1st Set - Aces,244,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
15,Breanna Stewart,LVA,7.5,FG,3,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
16,Breanna Stewart,LVA,12.0,TRB+AST,3,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
17,Milton Doyle,Illawarra Hawks,19.5,PTS,238,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
