,player,team,line,stat,league,date,time
0,Stephen Curry,PHX,28.5,PTS,7,2023-10-24,2023-10-20 14:02:00
1,Lebron James,2023-2024 Season,27.1,Points Per Game AVG,173,2023-10-24,2023-10-20 14:02:00
2,Lebron James,2023-2024 Season,0.5,50+ Point Games,173,2023-10-24,2023-10-20 14:02:00
3,Lebron James,2023-2024 Season,6.8,Assists Per Game AVG,173,2023-10-24,2023-10-20 14:02:00
4,John Hunter Nemechek,Homestead - Contender Boats 300,38.5,NASCAR Points,137,2023-10-21,2023-10-20 14:02:00
5,Collin Rogers,TEM,7.5,Kicking Points,15,2023-10-20,2023-10-20 14:02:00
6,Jordan Montgomery,HOU,5.5,Hits Allowed,2,2023-10-20,2023-10-20 14:02:00
7,Lebron James,2023-2024 Season,1.5,Technical Fouls,173,2023-10-24,2023-10-20 14:02:00
8,Yordan Alvarez,TEX,8.0,Hitter Fantasy Score,2,2023-10-20,2023-10-20 14:02:00
9,Justin Verlander + Jordan Montgomery,TEX/HOU,0.5,1st Inning Runs Allowed,2,2023-10-20,2023-10-20 14:02:00
10,Justin Verlander,TEX 1+2 Innings,2.0,Pitcher Strikeouts,231,2023-10-20,2023-10-20 14:02:00
11,Adolis Garcia,HOU,1.5,Total Bases,2,2023-10-20,2023-10-20 14:02:00
12,Christopher Bell,Homestead,3.5,Starting Position,4,2023-10-21,2023-10-20 14:02:00
13,Lebron James,2023-2024 Season,2.3,3PT Made Per Game AVG,173,2023-10-24,2023-10-20 14:02:00
14,Kyle Tucker,TEX,1.5,Hits+Runs+RBIS,2,2023-10-20,2023-10-20 14:02:00
15,Kyle Larson,Homestead - 4EVER 400,38.5,NASCAR Points,4,2023-10-22,2023-10-20 14:02:00
16,Ty Majeski,Homestead - Baptist Health Cancer Care 200,38.5,NASCAR Points,138,2023-10-21,2023-10-20 14:02:00
17,Justin Verlander,TEX 1st Inning,15.5,Pitches Thrown,231,2023-10-20,2023-10-20 14:02:00
18,Jose Altuve + Corey Seager,TEX/HOU,4.0,Hits+Runs+RBIs (Combo),2,2023-10-20,2023-10-20 14:02:00
19,Jamal Murray	,2023-2024 Season,4.5,Double-Doubles,173,2023-10-24,2023-10-20 14:02:00
20,Jordan Montgomery,HOU,2.5,Earned Runs Allowed,2,2023-10-20,2023-10-20 14:02:00
21,Preston Stone,TEM,19.5,Rush Yards,15,2023-10-20,2023-10-20 14:02:00
22,Preston Stone,TEM,274.5,Pass Yards,15,2023-10-20,2023-10-20 14:02:00
23,Preston Stone,TEM,299.5,Pass+Rush Yds,15,2023-10-20,2023-10-20 14:02:00
24,Xander Schauffele,Collin Morikawa,0.0,Birdies or Better Matchup,1,2023-10-20,2023-10-20 14:02:00
25,Kyle McCord + Jalen Milroe,PSU/TEN,462.5,Pass Yards (Combo),15,2023-10-21,2023-10-20 14:02:00
26,Jordan Montgomery,HOU,4.0,Pitcher Strikeouts,2,2023-10-20,2023-10-20 14:02:00
27,Oscar Piastri,US GP,2.6,1st Pit Stop Time (sec),125,2023-10-22,2023-10-20 14:02:00
28,Jordan Montgomery,HOU,16.5,Pitching Outs,2,2023-10-20,2023-10-20 14:02:00
29,Lebron James,2023-2024 Season,4.5,Triple-Doubles,173,2023-10-24,2023-10-20 14:02:00
30,Justin Verlander,TEX,25.5,Pitcher Fantasy Score,2,2023-10-20,2023-10-20 14:02:00
31,Sharabutdin Magomedov	,Bruno Silva,40.5,Significant Strikes,12,2023-10-21,2023-10-20 14:02:00
32,Sharabutdin Magomedov	,Bruno Silva,6.5,Fight Time (Mins),12,2023-10-21,2023-10-20 14:02:00
33,369,LNG (MAPS 1-2 Kills),4.5,MAPS 1-2 Kills,121,2023-10-21,2023-10-20 14:02:00
34,Lebron James,2023-2024 Season,7.9,Rebounds Per Game AVG,173,2023-10-24,2023-10-20 14:02:00
35,Yatoro,VP (MAP 3 Kills),9.5,MAP 3 Kills,174,2023-10-20,2023-10-20 14:02:00
36,Larl,VP (MAP 3 Kills),8.5,MAP 3 Kills,174,2023-10-20,2023-10-20 14:02:00
37,Victoria Dudakova	,Jinh Yu Frey,2.5,Takedowns,12,2023-10-21,2023-10-20 14:02:00
38,Jordan Montgomery,HOU,23.5,Pitcher Fantasy Score,2,2023-10-20,2023-10-20 14:02:00
39,Kyle Larson,Homestead,4.5,Starting Position,4,2023-10-21,2023-10-20 14:02:00
40,Victoria Dudakova	,Jinh Yu Frey,32.5,Significant Strikes,12,2023-10-21,2023-10-20 14:02:00
41,Nikola Jokic,2023-2024 Season,11.9,Rebounds Per Game AVG,173,2023-10-24,2023-10-20 14:02:00
42,Nikola Jokic,2023-2024 Season,25.6,Points Per Game AVG,173,2023-10-24,2023-10-20 14:02:00
43,Nikola Jokic,2023-2024 Season,0.5,50+ Point Games,173,2023-10-24,2023-10-20 14:02:00
44,Kyle Tucker + Marcus Semien,TEX/HOU,3.5,Hits+Runs+RBIs (Combo),2,2023-10-20,2023-10-20 14:02:00
45,Nikola Jokic,2023-2024 Season,9.4,Assists Per Game AVG,173,2023-10-24,2023-10-20 14:02:00
46,Justin Verlander,TEX,5.0,Hits Allowed,2,2023-10-20,2023-10-20 14:02:00
47,Drew Allar + Joe Milton,OSU/BAMA,376.5,Pass Yards (Combo),15,2023-10-21,2023-10-20 14:02:00
48,Justin Verlander,TEX,5.0,Pitcher Strikeouts,2,2023-10-20,2023-10-20 14:02:00
49,Camden Price,SMU,4.5,Kicking Points,15,2023-10-20,2023-10-20 14:02:00
50,Kanavi,LNG (MAPS 1-2 Kills),5.5,MAPS 1-2 Kills,121,2023-10-21,2023-10-20 14:02:00
51,Austin Reaves ,2023-2024 Season,1.5,Double-Doubles,173,2023-10-24,2023-10-20 14:02:00
52,Nikola Jokic,2023-2024 Season,5.5,Technical Fouls,173,2023-10-24,2023-10-20 14:02:00
53,Corey Seager,HOU,8.0,Hitter Fantasy Score,2,2023-10-20,2023-10-20 14:02:00
54,Nikola Jokic,2023-2024 Season,24.5,Triple-Doubles,173,2023-10-24,2023-10-20 14:02:00
55,Nikola Jokic,2023-2024 Season,16.5,30+ Point Games,173,2023-10-24,2023-10-20 14:02:00
56,Cole Custer,Homestead - Contender Boats 300,37.5,NASCAR Points,137,2023-10-21,2023-10-20 14:02:00
57,Corey Seager,HOU,1.5,Total Bases,2,2023-10-20,2023-10-20 14:02:00
58,Austin Reaves ,2023-2024 Season,17.5,Points Per Game AVG,173,2023-10-24,2023-10-20 14:02:00
59,Tyler Reddick,Homestead - 4EVER 400,36.5,NASCAR Points,4,2023-10-22,2023-10-20 14:02:00
60,Jordan Montgomery,HOU 1+2 Innings,1.5,Pitcher Strikeouts,231,2023-10-20,2023-10-20 14:02:00
61,Corey Heim,Homestead - Baptist Health Cancer Care 200,38.5,NASCAR Points,138,2023-10-21,2023-10-20 14:02:00
62,Lando Norris,US GP,2.5,1st Pit Stop Time (sec),125,2023-10-22,2023-10-20 14:02:00
63,Jordan Montgomery,HOU 1st Inning,15.5,Pitches Thrown,231,2023-10-20,2023-10-20 14:02:00
64,Tyrese Haliburton,CLE,16.5,PTS,237,2023-10-20,2023-10-20 14:02:00
65,Justin Verlander,TEX,16.5,Pitching Outs,2,2023-10-20,2023-10-20 14:02:00
66,Ben Shelton,M. Giron (Tokyo),10.0,3rd Set - Total Games,244,2023-10-21,2023-10-20 14:02:00
67,Sungjae Im,Rickie Fowler,0.0,Birdies or Better Matchup,1,2023-10-20,2023-10-20 14:02:00
68,Nathaniel Wood,Muhammad Naimov,87.5,Significant Strikes,12,2023-10-21,2023-10-20 14:02:00
69,Jose Altuve,TEX,7.5,Hitter Fantasy Score,2,2023-10-20,2023-10-20 14:02:00
70,Justin Allgaier,Homestead - Contender Boats 300,36.5,NASCAR Points,137,2023-10-21,2023-10-20 14:02:00
71,William Byron,Homestead,4.5,Starting Position,4,2023-10-21,2023-10-20 14:02:00
72,Ben Shelton,M. Giron (Tokyo),10.0,2nd Set - Total Games,244,2023-10-21,2023-10-20 14:02:00
73,Denny Hamlin,Homestead - 4EVER 400,36.5,NASCAR Points,4,2023-10-22,2023-10-20 14:02:00
74,Darvon Hubbard,SMU,26.5,Rush Yards,15,2023-10-20,2023-10-20 14:02:00
75,Ben Shelton,M. Giron (Tokyo),10.0,1st Set - Total Games,244,2023-10-21,2023-10-20 14:02:00
76,Ben Shelton,M. Giron (Tokyo),4.5,2nd Set - Aces,244,2023-10-21,2023-10-20 14:02:00
77,Zane Smith,Homestead - Baptist Health Cancer Care 200,36.5,NASCAR Points,138,2023-10-21,2023-10-20 14:02:00
78,Kiritych~,TSpirit (MAP 3 Kills),5.5,MAP 3 Kills,174,2023-10-20,2023-10-20 14:02:00
79,Jayden Fielding,PSU,6.5,Kicking Points,15,2023-10-21,2023-10-20 14:02:00
80,Anthony Davis,2023-2024 Season,25.5,Points Per Game AVG,173,2023-10-24,2023-10-20 14:02:00
81,Anthony Davis,2023-2024 Season,0.5,50+ Point Games,173,2023-10-24,2023-10-20 14:02:00
82,Marvin Harrison + Squirrel White,PSU/BAMA,131.5,Receiving Yards (Combo),15,2023-10-21,2023-10-20 14:02:00
83,Anthony Davis,2023-2024 Season,11.7,Rebounds Per Game AVG,173,2023-10-24,2023-10-20 14:02:00
84,Aaron Gordon ,2023-2024 Season,1.5,30+ Point Games,173,2023-10-24,2023-10-20 14:02:00
85,Max Verstappen,US GP,2.5,1st Pit Stop Time (sec),125,2023-10-22,2023-10-20 14:02:00
86,Ben Shelton,M. Giron (Tokyo),4.5,1st Set - Aces,244,2023-10-21,2023-10-20 14:02:00
87,Donovan Mitchell,IND,21.5,PTS,237,2023-10-20,2023-10-20 14:02:00
88,knight,LNG (MAPS 1-2 Kills),9.0,MAPS 1-2 Kills,121,2023-10-21,2023-10-20 14:02:00
89,Anthony Davis,2023-2024 Season,17.5,30+ Point Games,173,2023-10-24,2023-10-20 14:02:00
90,Aaron Gordon ,2023-2024 Season,6.5,Technical Fouls,173,2023-10-24,2023-10-20 14:02:00
91,Ben Shelton,M. Giron (Tokyo),24.0,Total Games,5,2023-10-21,2023-10-20 14:02:00
92,Bennedict Mathurin,CLE,17.5,PTS,237,2023-10-20,2023-10-20 14:02:00
93,Jaylan Knighton,TEM,64.5,Rush Yards,15,2023-10-20,2023-10-20 14:02:00
94,squad1x,TSpirit (MAP 3 Kills),6.0,MAP 3 Kills,174,2023-10-20,2023-10-20 14:02:00
95,Camilo Vargas + Hugo Gonzalez,Mazatlán/Atlas,0.5,Goals Allowed in First 30 Minutes,82,2023-10-20,2023-10-20 14:02:00
96,Camilo Vargas + Hugo Gonzalez,Mazatlán/Atlas,6.0,Goalie Saves (Combo),82,2023-10-20,2023-10-20 14:02:00
97,Marcus Semien,HOU,7.0,Hitter Fantasy Score,2,2023-10-20,2023-10-20 14:02:00
98,Aslan Karatsev,S. Mochizuki (Tokyo),9.5,2nd Set - Total Games,244,2023-10-21,2023-10-20 14:02:00
99,Josh Jung,HOU,1.5,Hits+Runs+RBIS,2,2023-10-20,2023-10-20 14:02:00
100,Aslan Karatsev,S. Mochizuki (Tokyo),9.5,3rd Set - Total Games,244,2023-10-21,2023-10-20 14:02:00
101,Anshul Jubli	,Mike Breeden,48.5,Significant Strikes,12,2023-10-21,2023-10-20 14:02:00
102,Aslan Karatsev,S. Mochizuki (Tokyo),2.0,2nd Set - Aces,244,2023-10-21,2023-10-20 14:02:00
103,Ruler,LNG (MAPS 1-2 Kills),10.0,MAPS 1-2 Kills,121,2023-10-21,2023-10-20 14:02:00
104,Tyler Reddick,Homestead,5.5,Starting Position,4,2023-10-21,2023-10-20 14:02:00
105,Martin Truex Jr.,Homestead - 4EVER 400,35.5,NASCAR Points,4,2023-10-22,2023-10-20 14:02:00
106,Carson Hocevar,Homestead - Baptist Health Cancer Care 200,36.5,NASCAR Points,138,2023-10-21,2023-10-20 14:02:00
107,Austin Hill,Homestead - Contender Boats 300,35.5,NASCAR Points,137,2023-10-21,2023-10-20 14:02:00
108,Aslan Karatsev,S. Mochizuki (Tokyo),9.5,1st Set - Total Games,244,2023-10-21,2023-10-20 14:02:00
109,Keandre Lambert-Smith + Jermaine Burton,OSU/TEN,112.5,Receiving Yards (Combo),15,2023-10-21,2023-10-20 14:02:00
110,Anshul Jubli	,Mike Breeden,10.5,Fight Time (Mins),12,2023-10-21,2023-10-20 14:02:00
111,Aslan Karatsev,S. Mochizuki (Tokyo),2.0,1st Set - Aces,244,2023-10-21,2023-10-20 14:02:00
112,Rickie Fowler,Sahith Theegala,0.0,Birdies or Better Matchup,1,2023-10-20,2023-10-20 14:02:00
113,Alex Felkins,OSU,5.5,Kicking Points,15,2023-10-21,2023-10-20 14:02:00
114,Ben Shelton,M. Giron (Tokyo),2.0,Break Points Won,5,2023-10-21,2023-10-20 14:02:00
115,Sergio Perez,US GP,2.4,1st Pit Stop Time (sec),125,2023-10-22,2023-10-20 14:02:00
116,Ben Shelton,M. Giron (Tokyo),12.0,Aces,5,2023-10-21,2023-10-20 14:02:00
117,Charles Leclerc,US GP,2.45,1st Pit Stop Time (sec),125,2023-10-22,2023-10-20 14:02:00
118,Martin Truex Jr.,Homestead,7.5,Starting Position,4,2023-10-21,2023-10-20 14:02:00
119,Jordan Kerley,TEM,38.5,Receiving Yards,15,2023-10-20,2023-10-20 14:02:00
120,Marie Bouzkova,D. Shnaider (Nanchang),9.5,3rd Set - Total Games,244,2023-10-21,2023-10-20 14:02:00
121,Alex Bregman,TEX,6.5,Hitter Fantasy Score,2,2023-10-20,2023-10-20 14:02:00
122,Alfredo Talavera + Carlos Moreno,Pachuca/Juárez,0.5,Goals Allowed in First 30 Minutes,82,2023-10-20,2023-10-20 14:02:00
123,Sedriques Dumas	,Abu Azaitar,33.5,Significant Strikes,12,2023-10-21,2023-10-20 14:02:00
124,Max Strus,IND,12.5,PTS,237,2023-10-20,2023-10-20 14:02:00
125,Carter Brown,BAY,6.5,Kicking Points,15,2023-10-21,2023-10-20 14:02:00
126,Aslan Karatsev,S. Mochizuki (Tokyo),5.5,Aces,5,2023-10-21,2023-10-20 14:02:00
127,Stephen Curry,2023-2024 Season,4.8,3PT Made Per Game AVG,173,2023-10-24,2023-10-20 14:02:00
128,William Byron,Homestead - 4EVER 400,35.5,NASCAR Points,4,2023-10-22,2023-10-20 14:02:00
129,miCKe,Talon (MAPS 1-2 Kills),15.0,MAPS 1-2 Kills,174,2023-10-20,2023-10-20 14:02:00
130,Marie Bouzkova,D. Shnaider (Nanchang),9.5,2nd Set - Total Games,244,2023-10-21,2023-10-20 14:02:00
131,Stephen Curry,2023-2024 Season,1.5,50+ Point Games,173,2023-10-24,2023-10-20 14:02:00
