,player,team,line,stat,league,date,time
0,Isiah Pacheco,Weeks 6-9,2.5,Rush TDs,263,2023-10-12,2023-10-11 13:51:00
1,Bijan Robinson,Weeks 6-9,299.5,Rush Yards,263,2023-10-12,2023-10-11 13:51:00
2,Tyreek Hill,Weeks 6-9,405.5,Receiving Yards,263,2023-10-12,2023-10-11 13:51:00
3,Travis Kelce,Weeks 6-9,26.5,Receptions,263,2023-10-12,2023-10-11 13:51:00
4,Ludvig Aberg,RD1,14.5,Greens In Regulation,1,2023-10-12,2023-10-11 13:51:00
5,Milton Doyle,Illawarra Hawks,2.5,3P,238,2023-10-12,2023-10-11 13:51:00
6,Tom Kim,RD1,10.5,Fairways Hit,1,2023-10-12,2023-10-11 13:51:00
7,Breanna Stewart,LVA,10.0,FG Missed,3,2023-10-11,2023-10-11 13:51:00
8,Hubert Hurkacz,F. Marozsan (Shanghai),10.0,2nd Set - Total Games,244,2023-10-12,2023-10-11 13:51:00
9,Patrick Mahomes,Weeks 6-9,1160.5,Pass Yards,263,2023-10-12,2023-10-11 13:51:00
10,Chris Jones,Weeks 6-9,3.75,Sacks,263,2023-10-12,2023-10-11 13:51:00
11,Cooper Kupp,Weeks 6-9,385.5,Receiving Yards,263,2023-10-12,2023-10-11 13:51:00
12,Travis Kelce,Weeks 6-9,2.5,Rec TDs,263,2023-10-12,2023-10-11 13:51:00
13,Breanna Stewart,LVA,9.0,TRB,3,2023-10-11,2023-10-11 13:51:00
14,Breanna Stewart,LVA,2.5,BLK+STL,3,2023-10-11,2023-10-11 13:51:00
15,Isiah Pacheco,Weeks 6-9,305.5,Rush Yards,263,2023-10-12,2023-10-11 13:51:00
16,Cooper Kupp,Weeks 6-9,28.5,Receptions,263,2023-10-12,2023-10-11 13:51:00
17,Ronald Acuna Jr.,PHI,9.0,Hitter Fantasy Score,2,2023-10-11,2023-10-11 13:51:00
18,Jayson Tatum,PHI,16.5,PTS,237,2023-10-11,2023-10-11 13:51:00
19,Breanna Stewart,LVA,12.0,TRB+AST,3,2023-10-11,2023-10-11 13:51:00
20,Will Clyburn,Real Madrid,5.5,TRB,151,2023-10-12,2023-10-11 13:51:00
21,Josh Allen,Weeks 6-9,1085.5,Pass Yards,263,2023-10-12,2023-10-11 13:51:00
22,Lebron James,2023-2024 Season,7.9,Rebounds Per Game AVG,173,2023-10-24,2023-10-11 13:51:00
23,Hubert Hurkacz,F. Marozsan (Shanghai),24.5,Total Games,5,2023-10-12,2023-10-11 13:51:00
24,Aaron Nola,ATL 1+2 Innings,2.0,Pitcher Strikeouts,231,2023-10-11,2023-10-11 13:51:00
25,Will Clyburn,Real Madrid,14.5,PTS,151,2023-10-12,2023-10-11 13:51:00
26,Breanna Stewart,LVA,30.0,PTS+TRB,3,2023-10-11,2023-10-11 13:51:00
27,Patrick Mahomes + Russell Wilson,DEN/KC,488.5,Pass Yards (Combo),9,2023-10-12,2023-10-11 13:51:00
