,player,player_id,line,stat,league_id,event_time,opp,Team,count,over_prob,under_prob,pred
0,A'ja Wilson,410295,11.5,TRB,7,2023-10-19T00:00:00,NYL,LVA,1,0.5,0.5,11.666609705727254
1,A'ja Wilson,410295,23.5,PTS,7,2023-10-19T00:00:00,NYL,LVA,1,0.5,0.5,23.667343140350276
2,A.J. Brown,38856,81.5,Receiving Yards,1,2023-10-23T00:20:00,PHI,MIA,1,0.5,0.5,81.68789471761883
3,Aaron Donald,37648,1.5,bt15,1,2023-10-17T00:15:00,LAC,DAL,5,0.48663909664402794,0.5133609033559721,1.633912124309634
4,Aaron Donald,37648,9.5,bt66,1,2023-10-17T00:15:00,LAC,DAL,1,0.5203045685279188,0.4796954314720812,9.824865406932469
5,Aaron Donald,37648,12.5,Receiving Yards,1,2023-10-17T00:15:00,LAC,DAL,5,0.4971571330789517,0.5028428669210483,12.641914699405998
6,Alec Bohm,39636,0.5,Home Runs,5,2023-10-17T00:07:00,PHI,ARI,4,,,0.5
7,Alec Bohm,39636,0.5,Home Runs,5,2023-10-17T00:07:00,PHI,ARI,6,,,0.5
8,Alec Bohm,39636,0.5,Total Hits,5,2023-10-17T00:07:00,PHI,ARI,5,,,0.765046503038461
9,Alec Bohm,39636,0.5,Total Hits,5,2023-10-17T00:07:00,PHI,ARI,6,,,0.765046503038461
10,Alec Bohm,39636,1.5,Total Hits,5,2023-10-17T00:07:00,PHI,ARI,7,0.33014578004237066,0.6698542199576294,0.765046503038461
11,Alek Thomas,41381,0.5,Home Runs,5,2023-10-17T00:07:00,PHI,ARI,4,,,0.5
12,Alek Thomas,41381,0.5,Home Runs,5,2023-10-17T00:07:00,PHI,ARI,6,,,0.5
13,Alek Thomas,41381,0.5,Total Bases,5,2023-10-17T00:07:00,PHI,ARI,10,0.5172155324375532,0.4827844675624468,0.7265302754378177
14,Alek Thomas,41381,0.5,Total Hits,5,2023-10-17T00:07:00,PHI,ARI,12,,,0.5
15,Alek Thomas,41381,0.5,Total Hits,5,2023-10-17T00:07:00,PHI,ARI,13,,,0.5
16,Alexander Bregman,41839,0.5,Home Runs,5,2023-10-16T20:37:00,HOU,TEX,4,,,0.5
17,Alexander Bregman,41839,0.5,Home Runs,5,2023-10-16T20:37:00,HOU,TEX,7,,,0.5
18,Alexander Bregman,41839,0.5,Total Bases,5,2023-10-16T20:37:00,HOU,TEX,7,0.62567629850961,0.37432370149038996,0.9805603063345097
19,Alexander Bregman,41839,0.5,Total Hits,5,2023-10-16T20:37:00,HOU,TEX,12,,,0.5
20,Alexander Bregman,41839,0.5,Total Hits,5,2023-10-16T20:37:00,HOU,TEX,14,,,0.5
21,Alvin Kamara,38137,62.5,Rush Yards,1,2023-10-20T00:15:00,NO,JAX,1,0.5,0.5,62.68538817427352
22,Amon-Ra St. Brown,34156,78.5,Receiving Yards,1,2023-10-22T17:00:00,BAL,DET,1,0.5,0.5,78.68723461595755
23,Asante Samuel,35320,3.5,Tackles and Assists,1,2023-10-17T00:15:00,LAC,DAL,2,0.5763106201177467,0.4236893798822532,4.0850513149542484
24,Asante Samuel,35320,4.0,Tackles and Assists,1,2023-10-17T00:15:00,LAC,DAL,1,0.5,0.5,4.0850513149542484
25,Austin Ekeler,35465,4.5,bt15,1,2023-10-17T00:15:00,LAC,DAL,17,0.4975686515419445,0.5024313484580554,4.656080069350257
26,Austin Ekeler,35465,12.5,Receiving Yards,1,2023-10-17T00:15:00,LAC,DAL,11,0.489702353584801,0.510297646415199,25.69553304437913
27,Austin Ekeler,35465,32.5,Receiving Yards,1,2023-10-17T00:15:00,LAC,DAL,6,0.5042555412821549,0.4957444587178451,25.69553304437913
28,Austin Ekeler,35465,33.5,Receiving Yards,1,2023-10-17T00:15:00,LAC,DAL,8,0.5045404165935995,0.49545958340640056,25.69553304437913
29,Austin Ekeler,35465,34.5,Receiving Yards,1,2023-10-17T00:15:00,LAC,DAL,3,0.5226570545829042,0.4773429454170958,25.69553304437913
30,Austin Ekeler,35465,35.5,Receiving Yards,1,2023-10-17T00:15:00,LAC,DAL,1,0.4796954314720812,0.5203045685279188,25.69553304437913
31,Austin Ekeler,35465,12.5,Rush Attempts,1,2023-10-17T00:15:00,LAC,DAL,1,0.5,0.5,13.407447446904374
32,Austin Ekeler,35465,13.5,Rush Attempts,1,2023-10-17T00:15:00,LAC,DAL,8,0.4809535717861553,0.5190464282138447,13.407447446904374
33,Austin Ekeler,35465,12.5,bt66,1,2023-10-17T00:15:00,LAC,DAL,6,0.5,0.5,13.63590392716168
