,player,player_id,points,price,side,stat,book,league_id,event_time,prob,opp,Team,time
0,D'Andre Swift,38710,64.5,-135.0,under,Rush Yards,PrizePicks,1,2023-10-29T17:00:00,0.574468085106383,WAS,PHI,2023-10-23 16:04:00
1,D'Andre Swift,38710,66.5,-135.0,under,Rush Yards,Underdog Fantasy,1,2023-10-29T17:00:00,0.574468085106383,WAS,PHI,2023-10-23 16:04:00
2,D'Andre Swift,38710,64.5,-135.0,over,Rush Yards,PrizePicks,1,2023-10-29T17:00:00,0.574468085106383,WAS,PHI,2023-10-23 16:04:00
3,D'Andre Swift,38710,66.5,-135.0,over,Rush Yards,Underdog Fantasy,1,2023-10-29T17:00:00,0.574468085106383,WAS,PHI,2023-10-23 16:04:00
0,Jalen Hurts,34413,251.5,-135.0,under,Passing Yards,PrizePicks,1,2023-10-29T17:00:00,0.574468085106383,WAS,PHI,2023-10-23 16:04:00
1,Jalen Hurts,34413,250.5,-135.0,under,Passing Yards,Underdog Fantasy,1,2023-10-29T17:00:00,0.574468085106383,WAS,PHI,2023-10-23 16:04:00
2,Jalen Hurts,34413,251.5,-135.0,over,Passing Yards,PrizePicks,1,2023-10-29T17:00:00,0.574468085106383,WAS,PHI,2023-10-23 16:04:00
3,Jalen Hurts,34413,250.5,-135.0,over,Passing Yards,Underdog Fantasy,1,2023-10-29T17:00:00,0.574468085106383,WAS,PHI,2023-10-23 16:04:00
0,Terry McLaurin,36688,57.5,-135.0,under,Receiving Yards,PrizePicks,1,2023-10-29T17:00:00,0.574468085106383,WAS,PHI,2023-10-23 16:04:00
1,Terry McLaurin,36688,58.5,-135.0,under,Receiving Yards,Underdog Fantasy,1,2023-10-29T17:00:00,0.574468085106383,WAS,PHI,2023-10-23 16:04:00
2,Terry McLaurin,36688,57.5,-135.0,over,Receiving Yards,PrizePicks,1,2023-10-29T17:00:00,0.574468085106383,WAS,PHI,2023-10-23 16:04:00
3,Terry McLaurin,36688,58.5,-135.0,over,Receiving Yards,Underdog Fantasy,1,2023-10-29T17:00:00,0.574468085106383,WAS,PHI,2023-10-23 16:04:00
0,Sam Howell,37456,226.5,-135.0,under,Passing Yards,PrizePicks,1,2023-10-29T17:00:00,0.574468085106383,WAS,PHI,2023-10-23 16:04:00
1,Sam Howell,37456,229.5,-135.0,under,Passing Yards,Underdog Fantasy,1,2023-10-29T17:00:00,0.574468085106383,WAS,PHI,2023-10-23 16:04:00
2,Sam Howell,37456,226.5,-135.0,over,Passing Yards,PrizePicks,1,2023-10-29T17:00:00,0.574468085106383,WAS,PHI,2023-10-23 16:04:00
3,Sam Howell,37456,229.5,-135.0,over,Passing Yards,Underdog Fantasy,1,2023-10-29T17:00:00,0.574468085106383,WAS,PHI,2023-10-23 16:04:00
0,A.J. Brown,38856,86.5,-135.0,under,Receiving Yards,PrizePicks,1,2023-10-29T17:00:00,0.574468085106383,WAS,PHI,2023-10-23 16:04:00
1,A.J. Brown,38856,87.5,-135.0,under,Receiving Yards,Underdog Fantasy,1,2023-10-29T17:00:00,0.574468085106383,WAS,PHI,2023-10-23 16:04:00
2,A.J. Brown,38856,86.5,-135.0,over,Receiving Yards,PrizePicks,1,2023-10-29T17:00:00,0.574468085106383,WAS,PHI,2023-10-23 16:04:00
3,A.J. Brown,38856,87.5,-135.0,over,Receiving Yards,Underdog Fantasy,1,2023-10-29T17:00:00,0.574468085106383,WAS,PHI,2023-10-23 16:04:00
0,Josh Allen,34275,260.5,-135.0,under,Passing Yards,PrizePicks,1,2023-10-27T00:15:00,0.574468085106383,BUF,TB,2023-10-23 16:04:00
1,Josh Allen,34275,264.5,-135.0,under,Passing Yards,Underdog Fantasy,1,2023-10-27T00:15:00,0.574468085106383,BUF,TB,2023-10-23 16:04:00
2,Josh Allen,34275,260.5,-135.0,over,Passing Yards,PrizePicks,1,2023-10-27T00:15:00,0.574468085106383,BUF,TB,2023-10-23 16:04:00
3,Josh Allen,34275,264.5,-135.0,over,Passing Yards,Underdog Fantasy,1,2023-10-27T00:15:00,0.574468085106383,BUF,TB,2023-10-23 16:04:00
0,Stefon Diggs,34309,85.5,-135.0,under,Receiving Yards,PrizePicks,1,2023-10-27T00:15:00,0.574468085106383,BUF,TB,2023-10-23 16:04:00
1,Stefon Diggs,34309,87.5,-135.0,under,Receiving Yards,Underdog Fantasy,1,2023-10-27T00:15:00,0.574468085106383,BUF,TB,2023-10-23 16:04:00
2,Stefon Diggs,34309,85.5,-135.0,over,Receiving Yards,PrizePicks,1,2023-10-27T00:15:00,0.574468085106383,BUF,TB,2023-10-23 16:04:00
3,Stefon Diggs,34309,87.5,-135.0,over,Receiving Yards,Underdog Fantasy,1,2023-10-27T00:15:00,0.574468085106383,BUF,TB,2023-10-23 16:04:00
0,Rachaad White,37510,42.5,-135.0,under,Rush Yards,Underdog Fantasy,1,2023-10-27T00:15:00,0.574468085106383,BUF,TB,2023-10-23 16:04:00
1,Rachaad White,37510,42.5,-135.0,over,Rush Yards,Underdog Fantasy,1,2023-10-27T00:15:00,0.574468085106383,BUF,TB,2023-10-23 16:04:00
0,Baker Mayfield,37483,230.5,-135.0,under,Passing Yards,PrizePicks,1,2023-10-27T00:15:00,0.574468085106383,BUF,TB,2023-10-23 16:04:00
1,Baker Mayfield,37483,228.5,-135.0,under,Passing Yards,Underdog Fantasy,1,2023-10-27T00:15:00,0.574468085106383,BUF,TB,2023-10-23 16:04:00
2,Baker Mayfield,37483,230.5,-135.0,over,Passing Yards,PrizePicks,1,2023-10-27T00:15:00,0.574468085106383,BUF,TB,2023-10-23 16:04:00
3,Baker Mayfield,37483,228.5,-135.0,over,Passing Yards,Underdog Fantasy,1,2023-10-27T00:15:00,0.574468085106383,BUF,TB,2023-10-23 16:04:00
0,Chris Godwin,35809,60.5,-135.0,under,Receiving Yards,PrizePicks,1,2023-10-27T00:15:00,0.574468085106383,BUF,TB,2023-10-23 16:04:00
1,Chris Godwin,35809,60.5,-135.0,over,Receiving Yards,PrizePicks,1,2023-10-27T00:15:00,0.574468085106383,BUF,TB,2023-10-23 16:04:00
0,James Cook,34320,53.5,-135.0,under,Rush Yards,PrizePicks,1,2023-10-27T00:15:00,0.574468085106383,BUF,TB,2023-10-23 16:04:00
1,James Cook,34320,55.5,-135.0,under,Rush Yards,Underdog Fantasy,1,2023-10-27T00:15:00,0.574468085106383,BUF,TB,2023-10-23 16:04:00
2,James Cook,34320,53.5,-135.0,over,Rush Yards,PrizePicks,1,2023-10-27T00:15:00,0.574468085106383,BUF,TB,2023-10-23 16:04:00
3,James Cook,34320,55.5,-135.0,over,Rush Yards,Underdog Fantasy,1,2023-10-27T00:15:00,0.574468085106383,BUF,TB,2023-10-23 16:04:00
0,Mike Evans,36822,60.5,-135.0,under,Receiving Yards,PrizePicks,1,2023-10-27T00:15:00,0.574468085106383,BUF,TB,2023-10-23 16:04:00
1,Mike Evans,36822,60.5,-135.0,under,Receiving Yards,Underdog Fantasy,1,2023-10-27T00:15:00,0.574468085106383,BUF,TB,2023-10-23 16:04:00
2,Mike Evans,36822,60.5,-135.0,over,Receiving Yards,PrizePicks,1,2023-10-27T00:15:00,0.574468085106383,BUF,TB,2023-10-23 16:04:00
3,Mike Evans,36822,60.5,-135.0,over,Receiving Yards,Underdog Fantasy,1,2023-10-27T00:15:00,0.574468085106383,BUF,TB,2023-10-23 16:04:00
