,player,player_id,points,price,side,stat,book,league_id,event_time,prob,opp,Team,time,prop_id
0,D'Andre Swift,38710,64.5,-135.0,under,Rush Yards,PrizePicks,1,2023-10-29T17:00:00,0.574468085106383,WAS,PHI,2023-10-23 16:48:00,e407d13d-c
1,D'Andre Swift,38710,66.5,-135.0,under,Rush Yards,Underdog Fantasy,1,2023-10-29T17:00:00,0.574468085106383,WAS,PHI,2023-10-23 16:48:00,e407d13d-c
2,D'Andre Swift,38710,64.5,-135.0,over,Rush Yards,PrizePicks,1,2023-10-29T17:00:00,0.574468085106383,WAS,PHI,2023-10-23 16:48:00,e407d13d-c
3,D'Andre Swift,38710,66.5,-135.0,over,Rush Yards,Underdog Fantasy,1,2023-10-29T17:00:00,0.574468085106383,WAS,PHI,2023-10-23 16:48:00,e407d13d-c
0,Jalen Hurts,34413,251.5,-135.0,under,Passing Yards,PrizePicks,1,2023-10-29T17:00:00,0.574468085106383,WAS,PHI,2023-10-23 16:48:00,85fcd869-d
1,Jalen Hurts,34413,250.5,-135.0,under,Passing Yards,Underdog Fantasy,1,2023-10-29T17:00:00,0.574468085106383,WAS,PHI,2023-10-23 16:48:00,85fcd869-d
2,Jalen Hurts,34413,251.5,-135.0,over,Passing Yards,PrizePicks,1,2023-10-29T17:00:00,0.574468085106383,WAS,PHI,2023-10-23 16:48:00,85fcd869-d
3,Jalen Hurts,34413,250.5,-135.0,over,Passing Yards,Underdog Fantasy,1,2023-10-29T17:00:00,0.574468085106383,WAS,PHI,2023-10-23 16:48:00,85fcd869-d
0,Terry McLaurin,36688,57.5,-135.0,under,Receiving Yards,PrizePicks,1,2023-10-29T17:00:00,0.574468085106383,WAS,PHI,2023-10-23 16:48:00,ea23c096-8
1,Terry McLaurin,36688,58.5,-135.0,under,Receiving Yards,Underdog Fantasy,1,2023-10-29T17:00:00,0.574468085106383,WAS,PHI,2023-10-23 16:48:00,ea23c096-8
2,Terry McLaurin,36688,57.5,-135.0,over,Receiving Yards,PrizePicks,1,2023-10-29T17:00:00,0.574468085106383,WAS,PHI,2023-10-23 16:48:00,ea23c096-8
3,Terry McLaurin,36688,58.5,-135.0,over,Receiving Yards,Underdog Fantasy,1,2023-10-29T17:00:00,0.574468085106383,WAS,PHI,2023-10-23 16:48:00,ea23c096-8
0,Sam Howell,37456,226.5,-135.0,under,Passing Yards,PrizePicks,1,2023-10-29T17:00:00,0.574468085106383,WAS,PHI,2023-10-23 16:48:00,236ae5d1-3
1,Sam Howell,37456,229.5,-135.0,under,Passing Yards,Underdog Fantasy,1,2023-10-29T17:00:00,0.574468085106383,WAS,PHI,2023-10-23 16:48:00,236ae5d1-3
2,Sam Howell,37456,226.5,-135.0,over,Passing Yards,PrizePicks,1,2023-10-29T17:00:00,0.574468085106383,WAS,PHI,2023-10-23 16:48:00,236ae5d1-3
3,Sam Howell,37456,229.5,-135.0,over,Passing Yards,Underdog Fantasy,1,2023-10-29T17:00:00,0.574468085106383,WAS,PHI,2023-10-23 16:48:00,236ae5d1-3
0,A.J. Brown,38856,86.5,-135.0,under,Receiving Yards,PrizePicks,1,2023-10-29T17:00:00,0.574468085106383,WAS,PHI,2023-10-23 16:48:00,c76afa08-5
1,A.J. Brown,38856,87.5,-135.0,under,Receiving Yards,Underdog Fantasy,1,2023-10-29T17:00:00,0.574468085106383,WAS,PHI,2023-10-23 16:48:00,c76afa08-5
2,A.J. Brown,38856,86.5,-135.0,over,Receiving Yards,PrizePicks,1,2023-10-29T17:00:00,0.574468085106383,WAS,PHI,2023-10-23 16:48:00,c76afa08-5
3,A.J. Brown,38856,87.5,-135.0,over,Receiving Yards,Underdog Fantasy,1,2023-10-29T17:00:00,0.574468085106383,WAS,PHI,2023-10-23 16:48:00,c76afa08-5
0,Josh Allen,34275,260.5,-135.0,under,Passing Yards,PrizePicks,1,2023-10-27T00:15:00,0.574468085106383,BUF,TB,2023-10-23 16:48:00,4a931472-4
1,Josh Allen,34275,264.5,-135.0,under,Passing Yards,Underdog Fantasy,1,2023-10-27T00:15:00,0.574468085106383,BUF,TB,2023-10-23 16:48:00,4a931472-4
2,Josh Allen,34275,260.5,-135.0,over,Passing Yards,PrizePicks,1,2023-10-27T00:15:00,0.574468085106383,BUF,TB,2023-10-23 16:48:00,4a931472-4
3,Josh Allen,34275,264.5,-135.0,over,Passing Yards,Underdog Fantasy,1,2023-10-27T00:15:00,0.574468085106383,BUF,TB,2023-10-23 16:48:00,4a931472-4
0,Stefon Diggs,34309,85.5,-135.0,under,Receiving Yards,PrizePicks,1,2023-10-27T00:15:00,0.574468085106383,BUF,TB,2023-10-23 16:48:00,255a3b03-9
1,Stefon Diggs,34309,87.5,-135.0,under,Receiving Yards,Underdog Fantasy,1,2023-10-27T00:15:00,0.574468085106383,BUF,TB,2023-10-23 16:48:00,255a3b03-9
2,Stefon Diggs,34309,85.5,-135.0,over,Receiving Yards,PrizePicks,1,2023-10-27T00:15:00,0.574468085106383,BUF,TB,2023-10-23 16:48:00,255a3b03-9
3,Stefon Diggs,34309,87.5,-135.0,over,Receiving Yards,Underdog Fantasy,1,2023-10-27T00:15:00,0.574468085106383,BUF,TB,2023-10-23 16:48:00,255a3b03-9
0,Rachaad White,37510,42.5,-135.0,under,Rush Yards,Underdog Fantasy,1,2023-10-27T00:15:00,0.574468085106383,BUF,TB,2023-10-23 16:48:00,5f79e050-2
1,Rachaad White,37510,42.5,-135.0,over,Rush Yards,Underdog Fantasy,1,2023-10-27T00:15:00,0.574468085106383,BUF,TB,2023-10-23 16:48:00,5f79e050-2
0,Baker Mayfield,37483,230.5,-135.0,under,Passing Yards,PrizePicks,1,2023-10-27T00:15:00,0.574468085106383,BUF,TB,2023-10-23 16:48:00,8f6a8764-0
