,player,player_id,points,price,side,stat,book,league_id,event_time,prob,opp,Team,scrape_time,prop_id
0,Terry McLaurin,36688,57.5,-135.0,under,Receiving Yards,PrizePicks,1,2023-10-29 12:00:00-05:00,0.574468085106383,WAS,PHI,2023-10-24 17:28:00,4fc9155e-e
1,Terry McLaurin,36688,58.5,-135.0,under,Receiving Yards,Underdog Fantasy,1,2023-10-29 12:00:00-05:00,0.574468085106383,WAS,PHI,2023-10-24 17:28:00,4fc9155e-e
2,Terry McLaurin,36688,57.5,-135.0,over,Receiving Yards,PrizePicks,1,2023-10-29 12:00:00-05:00,0.574468085106383,WAS,PHI,2023-10-24 17:28:00,4fc9155e-e
3,Terry McLaurin,36688,58.5,-135.0,over,Receiving Yards,Underdog Fantasy,1,2023-10-29 12:00:00-05:00,0.574468085106383,WAS,PHI,2023-10-24 17:28:00,4fc9155e-e
0,A.J. Brown,38856,90.5,-135.0,under,Receiving Yards,Underdog Fantasy,1,2023-10-29 12:00:00-05:00,0.574468085106383,WAS,PHI,2023-10-24 17:28:00,aeba69fc-7
1,A.J. Brown,38856,88.5,-135.0,under,Receiving Yards,PrizePicks,1,2023-10-29 12:00:00-05:00,0.574468085106383,WAS,PHI,2023-10-24 17:28:00,aeba69fc-7
2,A.J. Brown,38856,90.5,-135.0,over,Receiving Yards,Underdog Fantasy,1,2023-10-29 12:00:00-05:00,0.574468085106383,WAS,PHI,2023-10-24 17:28:00,aeba69fc-7
3,A.J. Brown,38856,88.5,-135.0,over,Receiving Yards,PrizePicks,1,2023-10-29 12:00:00-05:00,0.574468085106383,WAS,PHI,2023-10-24 17:28:00,aeba69fc-7
0,D'Andre Swift,38710,64.5,-135.0,under,Rush Yards,PrizePicks,1,2023-10-29 12:00:00-05:00,0.574468085106383,WAS,PHI,2023-10-24 17:28:00,2bc57ae6-1
1,D'Andre Swift,38710,66.5,-135.0,under,Rush Yards,Underdog Fantasy,1,2023-10-29 12:00:00-05:00,0.574468085106383,WAS,PHI,2023-10-24 17:28:00,2bc57ae6-1
2,D'Andre Swift,38710,64.5,-135.0,over,Rush Yards,PrizePicks,1,2023-10-29 12:00:00-05:00,0.574468085106383,WAS,PHI,2023-10-24 17:28:00,2bc57ae6-1
3,D'Andre Swift,38710,66.5,-135.0,over,Rush Yards,Underdog Fantasy,1,2023-10-29 12:00:00-05:00,0.574468085106383,WAS,PHI,2023-10-24 17:28:00,2bc57ae6-1
0,Jalen Hurts,34413,254.5,-135.0,under,Passing Yards,PrizePicks,1,2023-10-29 12:00:00-05:00,0.574468085106383,WAS,PHI,2023-10-24 17:28:00,f45af345-3
1,Jalen Hurts,34413,250.5,-135.0,under,Passing Yards,Underdog Fantasy,1,2023-10-29 12:00:00-05:00,0.574468085106383,WAS,PHI,2023-10-24 17:28:00,f45af345-3
2,Jalen Hurts,34413,254.5,-135.0,over,Passing Yards,PrizePicks,1,2023-10-29 12:00:00-05:00,0.574468085106383,WAS,PHI,2023-10-24 17:28:00,f45af345-3
3,Jalen Hurts,34413,250.5,-135.0,over,Passing Yards,Underdog Fantasy,1,2023-10-29 12:00:00-05:00,0.574468085106383,WAS,PHI,2023-10-24 17:28:00,f45af345-3
0,Sam Howell,37456,226.5,-135.0,under,Passing Yards,PrizePicks,1,2023-10-29 12:00:00-05:00,0.574468085106383,WAS,PHI,2023-10-24 17:28:00,5befba39-d
1,Sam Howell,37456,229.5,-135.0,under,Passing Yards,Underdog Fantasy,1,2023-10-29 12:00:00-05:00,0.574468085106383,WAS,PHI,2023-10-24 17:28:00,5befba39-d
2,Sam Howell,37456,226.5,-135.0,over,Passing Yards,PrizePicks,1,2023-10-29 12:00:00-05:00,0.574468085106383,WAS,PHI,2023-10-24 17:28:00,5befba39-d
3,Sam Howell,37456,229.5,-135.0,over,Passing Yards,Underdog Fantasy,1,2023-10-29 12:00:00-05:00,0.574468085106383,WAS,PHI,2023-10-24 17:28:00,5befba39-d
0,Josh Allen,34275,0.5,-125.0,under,Interceptions Thrown,BetMGM,1,2023-10-26 19:15:00-05:00,0.5555555555555556,BUF,TB,2023-10-24 17:28:00,3557777d-5
1,Josh Allen,34275,37.5,-110.0,under,Passing Attempts,BetMGM,1,2023-10-26 19:15:00-05:00,0.5238095238095238,BUF,TB,2023-10-24 17:28:00,b8b48044-5
2,Josh Allen,34275,261.5,-115.0,under,Passing Yards,BetMGM,1,2023-10-26 19:15:00-05:00,0.5348837209302325,BUF,TB,2023-10-24 17:28:00,cab62bb9-f
3,Josh Allen,34275,1.5,105.0,under,Passing Touchdowns,BetMGM,1,2023-10-26 19:15:00-05:00,0.4878048780487805,BUF,TB,2023-10-24 17:28:00,ed0afefb-5
4,Josh Allen,34275,23.5,-110.0,under,Rush Yards,BetMGM,1,2023-10-26 19:15:00-05:00,0.5238095238095238,BUF,TB,2023-10-24 17:28:00,fd92e8ef-9
5,Josh Allen,34275,10.5,-105.0,under,Rush Attempts,BetMGM,1,2023-10-26 19:15:00-05:00,0.5121951219512195,BUF,TB,2023-10-24 17:28:00,e79b2e63-e
6,Josh Allen,34275,289.5,-115.0,under,Passing And Rush Yards,BetMGM,1,2023-10-26 19:15:00-05:00,0.5348837209302325,BUF,TB,2023-10-24 17:28:00,c8bca2d8-f
7,Josh Allen,34275,0.5,-124.0,under,Interceptions Thrown,Pinnacle,1,2023-10-26 19:15:00-05:00,0.5535714285714286,BUF,TB,2023-10-24 17:28:00,3557777d-5
8,Josh Allen,34275,37.5,-109.0,under,Passing Attempts,Pinnacle,1,2023-10-26 19:15:00-05:00,0.5215311004784688,BUF,TB,2023-10-24 17:28:00,b8b48044-5
9,Josh Allen,34275,261.5,-114.0,under,Passing Yards,Pinnacle,1,2023-10-26 19:15:00-05:00,0.5327102803738317,BUF,TB,2023-10-24 17:28:00,cab62bb9-f
