,player,player_id,points,price,side,stat,book,league_id,event_time,prob,opp,Team
3,Dallas Goedert,35761,41.5,-135.0,over,Receiving Yards,PrizePicks,1,2023-10-15T20:25:00,0.574468085106383,NYJ,PHI
7,Dallas Goedert,35761,41.5,-135.0,under,Receiving Yards,PrizePicks,1,2023-10-15T20:25:00,0.574468085106383,NYJ,PHI
3,DeVonta Smith,35599,63.5,-135.0,over,Receiving Yards,PrizePicks,1,2023-10-15T20:25:00,0.574468085106383,NYJ,PHI
7,DeVonta Smith,35599,63.5,-135.0,under,Receiving Yards,PrizePicks,1,2023-10-15T20:25:00,0.574468085106383,NYJ,PHI
7,Zach Wilson,34241,189.5,-135.0,over,Passing Yards,Underdog Fantasy,1,2023-10-15T20:25:00,0.574468085106383,NYJ,PHI
8,Zach Wilson,34241,195.5,-135.0,over,Passing Yards,PrizePicks,1,2023-10-15T20:25:00,0.574468085106383,NYJ,PHI
16,Zach Wilson,34241,189.5,-135.0,under,Passing Yards,Underdog Fantasy,1,2023-10-15T20:25:00,0.574468085106383,NYJ,PHI
17,Zach Wilson,34241,195.5,-135.0,under,Passing Yards,PrizePicks,1,2023-10-15T20:25:00,0.574468085106383,NYJ,PHI
7,Jalen Hurts,34413,245.5,-135.0,over,Passing Yards,Underdog Fantasy,1,2023-10-15T20:25:00,0.574468085106383,NYJ,PHI
8,Jalen Hurts,34413,239.5,-135.0,over,Passing Yards,PrizePicks,1,2023-10-15T20:25:00,0.574468085106383,NYJ,PHI
16,Jalen Hurts,34413,245.5,-135.0,under,Passing Yards,Underdog Fantasy,1,2023-10-15T20:25:00,0.574468085106383,NYJ,PHI
17,Jalen Hurts,34413,239.5,-135.0,under,Passing Yards,PrizePicks,1,2023-10-15T20:25:00,0.574468085106383,NYJ,PHI
3,Garrett Wilson,34250,54.5,-135.0,over,Receiving Yards,Underdog Fantasy,1,2023-10-15T20:25:00,0.574468085106383,NYJ,PHI
4,Garrett Wilson,34250,55.5,-135.0,over,Receiving Yards,PrizePicks,1,2023-10-15T20:25:00,0.574468085106383,NYJ,PHI
8,Garrett Wilson,34250,54.5,-135.0,under,Receiving Yards,Underdog Fantasy,1,2023-10-15T20:25:00,0.574468085106383,NYJ,PHI
9,Garrett Wilson,34250,55.5,-135.0,under,Receiving Yards,PrizePicks,1,2023-10-15T20:25:00,0.574468085106383,NYJ,PHI
3,A.J. Brown,38856,79.5,-135.0,over,Receiving Yards,Underdog Fantasy,1,2023-10-15T20:25:00,0.574468085106383,NYJ,PHI
4,A.J. Brown,38856,77.5,-135.0,over,Receiving Yards,PrizePicks,1,2023-10-15T20:25:00,0.574468085106383,NYJ,PHI
8,A.J. Brown,38856,79.5,-135.0,under,Receiving Yards,Underdog Fantasy,1,2023-10-15T20:25:00,0.574468085106383,NYJ,PHI
9,A.J. Brown,38856,77.5,-135.0,under,Receiving Yards,PrizePicks,1,2023-10-15T20:25:00,0.574468085106383,NYJ,PHI
2,Breece Hall,38803,59.5,-135.0,over,Rush Yards,PrizePicks,1,2023-10-15T20:25:00,0.574468085106383,NYJ,PHI
3,Breece Hall,38803,65.5,-135.0,over,Rush Yards,Underdog Fantasy,1,2023-10-15T20:25:00,0.574468085106383,NYJ,PHI
6,Breece Hall,38803,59.5,-135.0,under,Rush Yards,PrizePicks,1,2023-10-15T20:25:00,0.574468085106383,NYJ,PHI
7,Breece Hall,38803,65.5,-135.0,under,Rush Yards,Underdog Fantasy,1,2023-10-15T20:25:00,0.574468085106383,NYJ,PHI
0,D'Andre Swift,38710,64.5,-135.0,over,Rush Yards,Underdog Fantasy,1,2023-10-15T20:25:00,0.574468085106383,NYJ,PHI
1,D'Andre Swift,38710,64.5,-135.0,over,Rush Yards,PrizePicks,1,2023-10-15T20:25:00,0.574468085106383,NYJ,PHI
2,D'Andre Swift,38710,64.5,-135.0,under,Rush Yards,Underdog Fantasy,1,2023-10-15T20:25:00,0.574468085106383,NYJ,PHI
3,D'Andre Swift,38710,64.5,-135.0,under,Rush Yards,PrizePicks,1,2023-10-15T20:25:00,0.574468085106383,NYJ,PHI
3,Stefon Diggs,34309,89.5,-135.0,over,Receiving Yards,Underdog Fantasy,1,2023-10-16T00:20:00,0.574468085106383,BUF,NYG
4,Stefon Diggs,34309,84.5,-135.0,over,Receiving Yards,PrizePicks,1,2023-10-16T00:20:00,0.574468085106383,BUF,NYG
8,Stefon Diggs,34309,89.5,-135.0,under,Receiving Yards,Underdog Fantasy,1,2023-10-16T00:20:00,0.574468085106383,BUF,NYG
9,Stefon Diggs,34309,84.5,-135.0,under,Receiving Yards,PrizePicks,1,2023-10-16T00:20:00,0.574468085106383,BUF,NYG
2,James Cook,34320,52.5,-135.0,over,Rush Yards,Underdog Fantasy,1,2023-10-16T00:20:00,0.574468085106383,BUF,NYG
5,James Cook,34320,52.5,-135.0,under,Rush Yards,Underdog Fantasy,1,2023-10-16T00:20:00,0.574468085106383,BUF,NYG
0,Josh Allen,34275,260.5,-135.0,over,Passing Yards,PrizePicks,1,2023-10-16T00:20:00,0.574468085106383,BUF,NYG
1,Josh Allen,34275,260.5,-135.0,under,Passing Yards,PrizePicks,1,2023-10-16T00:20:00,0.574468085106383,BUF,NYG
2,Tony Pollard,35610,70.5,-135.0,under,Rush Yards,PrizePicks,1,2023-10-17T00:15:00,0.574468085106383,LAC,DAL
5,Tony Pollard,35610,70.5,-135.0,over,Rush Yards,PrizePicks,1,2023-10-17T00:15:00,0.574468085106383,LAC,DAL
7,Justin Herbert,38387,283.5,-135.0,under,Passing Yards,PrizePicks,1,2023-10-17T00:15:00,0.574468085106383,LAC,DAL
15,Justin Herbert,38387,283.5,-135.0,over,Passing Yards,PrizePicks,1,2023-10-17T00:15:00,0.574468085106383,LAC,DAL
3,Keenan Allen,38673,74.5,-135.0,under,Receiving Yards,PrizePicks,1,2023-10-17T00:15:00,0.574468085106383,LAC,DAL
7,Keenan Allen,38673,74.5,-135.0,over,Receiving Yards,PrizePicks,1,2023-10-17T00:15:00,0.574468085106383,LAC,DAL
7,Dak Prescott,35704,248.5,-135.0,under,Passing Yards,PrizePicks,1,2023-10-17T00:15:00,0.574468085106383,LAC,DAL
15,Dak Prescott,35704,248.5,-135.0,over,Passing Yards,PrizePicks,1,2023-10-17T00:15:00,0.574468085106383,LAC,DAL
3,CeeDee Lamb,39125,69.5,-135.0,under,Receiving Yards,PrizePicks,1,2023-10-17T00:15:00,0.574468085106383,LAC,DAL
7,CeeDee Lamb,39125,69.5,-135.0,over,Receiving Yards,PrizePicks,1,2023-10-17T00:15:00,0.574468085106383,LAC,DAL
0,Patrick Mahomes,37657,292.5,-114.0,under,Passing And Rush Yards,FanDuel,1,2023-10-13T00:15:00,0.5327102803738317,KC,DEN
1,Patrick Mahomes,37657,36.5,-114.0,under,Passing Attempts,FanDuel,1,2023-10-13T00:15:00,0.5327102803738317,KC,DEN
2,Patrick Mahomes,37657,2.5,-160.0,under,Passing Touchdowns,FanDuel,1,2023-10-13T00:15:00,0.6153846153846154,KC,DEN
3,Patrick Mahomes,37657,35.5,-114.0,under,Longest Pass Completion,FanDuel,1,2023-10-13T00:15:00,0.5327102803738317,KC,DEN
4,Patrick Mahomes,37657,24.5,-130.0,under,Passing Completions,FanDuel,1,2023-10-13T00:15:00,0.5652173913043478,KC,DEN
5,Patrick Mahomes,37657,268.5,-114.0,under,Passing Yards,FanDuel,1,2023-10-13T00:15:00,0.5327102803738317,KC,DEN
6,Patrick Mahomes,37657,19.5,-114.0,under,Rush Yards,FanDuel,1,2023-10-13T00:15:00,0.5327102803738317,KC,DEN
7,Patrick Mahomes,37657,0.5,-148.0,under,Interceptions Thrown,FanDuel,1,2023-10-13T00:15:00,0.5967741935483871,KC,DEN
8,Patrick Mahomes,37657,36.5,-118.0,under,Passing Attempts,888sports,1,2023-10-13T00:15:00,0.5412844036697247,KC,DEN
9,Patrick Mahomes,37657,2.5,-200.0,under,Passing Touchdowns,888sports,1,2023-10-13T00:15:00,0.6666666666666666,KC,DEN
10,Patrick Mahomes,37657,273.5,-120.0,under,Passing Yards,888sports,1,2023-10-13T00:15:00,0.5454545454545454,KC,DEN
11,Patrick Mahomes,37657,0.5,-133.0,under,Interceptions Thrown,888sports,1,2023-10-13T00:15:00,0.5708154506437768,KC,DEN
12,Patrick Mahomes,37657,36.5,-113.0,under,Passing Attempts,Pinnacle,1,2023-10-13T00:15:00,0.5305164319248826,KC,DEN
13,Patrick Mahomes,37657,2.5,-189.0,under,Passing Touchdowns,Pinnacle,1,2023-10-13T00:15:00,0.6539792387543253,KC,DEN
14,Patrick Mahomes,37657,273.5,-115.0,under,Passing Yards,Pinnacle,1,2023-10-13T00:15:00,0.5348837209302325,KC,DEN
15,Patrick Mahomes,37657,0.5,-127.0,under,Interceptions Thrown,Pinnacle,1,2023-10-13T00:15:00,0.5594713656387665,KC,DEN
16,Patrick Mahomes,37657,36.5,-110.0,under,Passing Attempts,BetMGM,1,2023-10-13T00:15:00,0.5238095238095238,KC,DEN
17,Patrick Mahomes,37657,2.5,-185.0,under,Passing Touchdowns,BetMGM,1,2023-10-13T00:15:00,0.6491228070175439,KC,DEN
18,Patrick Mahomes,37657,273.5,-115.0,under,Passing Yards,BetMGM,1,2023-10-13T00:15:00,0.5348837209302325,KC,DEN
19,Patrick Mahomes,37657,0.5,-125.0,under,Interceptions Thrown,BetMGM,1,2023-10-13T00:15:00,0.5555555555555556,KC,DEN
20,Patrick Mahomes,37657,36.5,-115.0,under,Passing Attempts,Bet365,1,2023-10-13T00:15:00,0.5348837209302325,KC,DEN
21,Patrick Mahomes,37657,2.5,-175.0,under,Passing Touchdowns,Bet365,1,2023-10-13T00:15:00,0.6363636363636364,KC,DEN
22,Patrick Mahomes,37657,273.5,-110.0,under,Passing Yards,Bet365,1,2023-10-13T00:15:00,0.5238095238095238,KC,DEN
23,Patrick Mahomes,37657,0.5,-120.0,under,Interceptions Thrown,Bet365,1,2023-10-13T00:15:00,0.5454545454545454,KC,DEN
24,Patrick Mahomes,37657,36.5,-118.0,under,Passing Attempts,Caesars,1,2023-10-13T00:15:00,0.5412844036697247,KC,DEN
25,Patrick Mahomes,37657,2.5,-169.0,under,Passing Touchdowns,Caesars,1,2023-10-13T00:15:00,0.6282527881040892,KC,DEN
26,Patrick Mahomes,37657,273.5,-118.0,under,Passing Yards,Caesars,1,2023-10-13T00:15:00,0.5412844036697247,KC,DEN
27,Patrick Mahomes,37657,0.5,-133.0,under,Interceptions Thrown,Caesars,1,2023-10-13T00:15:00,0.5708154506437768,KC,DEN
35,Patrick Mahomes,37657,2.5,-195.0,under,Passing Touchdowns,DraftKings,1,2023-10-13T00:15:00,0.6610169491525424,KC,DEN
36,Patrick Mahomes,37657,273.5,-115.0,under,Passing Yards,DraftKings,1,2023-10-13T00:15:00,0.5348837209302325,KC,DEN
37,Patrick Mahomes,37657,2.5,-160.0,under,Passing Touchdowns,PointsBet,1,2023-10-13T00:15:00,0.6153846153846154,KC,DEN
38,Patrick Mahomes,37657,35.5,-120.0,under,Longest Pass Completion,PointsBet,1,2023-10-13T00:15:00,0.5454545454545454,KC,DEN
