,Player,Stat,Line,o_Prob,u_Prob,num_books,means,Team,League,Date
39,Aaron Gordon,PTS,12.0,0.4633063883572071,0.536693611642793,1.0,11.880327771857882,LAL,7,2023-05-22
34,Dennis Schroder,PTS+AST,11.5,0.46598432718937866,0.5340156728106213,5.0,11.379871938039654,DEN,7,2023-05-22
31,D'Angelo Russell,PTS+AST,15.5,0.4697500645416224,0.5302499354583776,5.0,15.369953363143656,DEN,7,2023-05-22
98,Bam Adebayo,PTS+TRB+AST,31.5,0.47097016216076903,0.529029837839231,7.0,31.259567355412536,BOS,7,2023-05-23
42,Aaron Gordon,PTS+TRB+AST,20.5,0.4729249092836023,0.5270750907163977,7.0,20.360801551911187,LAL,7,2023-05-22
30,D'Angelo Russell,PTS+TRB,13.5,0.4737736671925996,0.5262263328074004,5.0,13.426832150556942,DEN,7,2023-05-22
78,Nikola Jokic,AST,10.0,0.4777236085286432,0.5222763914713568,1.0,10.007957244647757,LAL,7,2023-05-22
93,Jimmy Butler,PTS+AST,34.5,0.48028127771291274,0.5197187222870873,6.0,34.377142385160234,BOS,7,2023-05-23
92,Jimmy Butler,PTS+TRB+AST,41.5,0.4808685106395102,0.5191314893604898,7.0,41.358442035199985,BOS,7,2023-05-23
37,Dennis Schroder,PTS+TRB,10.5,0.48287215658094973,0.5171278434190503,4.0,10.52922882712946,DEN,7,2023-05-22
45,Aaron Gordon,STL,0.5,0.4841253802268022,0.5158746197731978,4.0,0.6618915279618598,LAL,7,2023-05-22
89,Jimmy Butler,AST,6.0,0.48438390502200174,0.5156160949779983,1.0,6.08048247182697,BOS,7,2023-05-23
68,Austin Reaves,PTS+AST,22.5,0.4859121973731715,0.5140878026268285,6.0,22.5,DEN,7,2023-05-22
41,Aaron Gordon,AST,2.5,0.48640828714173856,0.5135917128582614,10.0,2.6193142554383546,LAL,7,2023-05-22
94,Jimmy Butler,PTS+TRB,35.5,0.4888048764563331,0.5111951235436669,7.0,35.5,BOS,7,2023-05-23
36,Dennis Schroder,PTS+TRB+AST,13.5,0.4894372927296654,0.5105627072703346,3.0,13.570650763690432,DEN,7,2023-05-22
48,LeBron James,PTS+TRB,34.5,0.49012208159049886,0.5098779184095011,7.0,34.52175762072295,DEN,7,2023-05-22
28,D'Angelo Russell,PTS+TRB+AST,17.5,0.49102426599052906,0.5089757340094709,9.0,17.57352683049192,DEN,7,2023-05-22
101,Jayson Tatum,PTS,30.5,0.4910251358305989,0.5089748641694011,9.0,30.54300047680146,MIA,7,2023-05-23
66,Austin Reaves,TRB,4.0,0.4917542230250879,0.508245776974912,1.0,4.126547086446925,DEN,7,2023-05-22
80,Nikola Jokic,PTS+TRB+AST,50.5,0.4927822325728962,0.5072177674271038,7.0,50.538447361441186,LAL,7,2023-05-22
79,Nikola Jokic,TRB,13.5,0.49321702814222357,0.5067829718577764,7.0,13.605477746489456,LAL,7,2023-05-22
82,Nikola Jokic,PTS+TRB,40.5,0.49433122858568856,0.5056687714143114,7.0,40.576663843609296,LAL,7,2023-05-22
27,D'Angelo Russell,AST,4.0,0.49460707926135705,0.505392920738643,1.0,4.138517552559066,DEN,7,2023-05-22
25,Rui Hachimura,PTS+AST,14.5,0.4947057404561116,0.5052942595438884,4.0,14.617344271367761,DEN,7,2023-05-22
100,Bam Adebayo,PTS+TRB,27.5,0.49472867712933244,0.5052713228706676,7.0,27.598006069432795,BOS,7,2023-05-23
67,Austin Reaves,PTS+TRB+AST,26.5,0.49481057387009697,0.505189426129903,10.0,26.6003590713838,DEN,7,2023-05-22
53,Anthony Davis,PTS,26.5,0.4957814591149339,0.5042185408850661,10.0,26.612895186381184,DEN,7,2023-05-22
11,Chas McCormick,Total Bases,0.5,0.4967161411217953,0.5032838588782047,4.0,0.6866009362918725,MIL,2,2023-05-22
63,Austin Reaves,PTS,17.5,0.4970415840722029,0.5029584159277971,9.0,17.636683436228875,DEN,7,2023-05-22
102,Jayson Tatum,PTS+AST,35.5,0.49711330409042276,0.5028866959095772,6.0,35.62405762831303,MIA,7,2023-05-23
43,Aaron Gordon,PTS+AST,14.5,0.4973659378028943,0.5026340621971057,6.0,14.642790997874238,LAL,7,2023-05-22
72,Jamal Murray,PTS+AST,32.5,0.49791278023739616,0.5020872197626038,7.0,32.637403375160154,LAL,7,2023-05-22
0,James Outman,Total Bases,0.5,0.49926452769393426,0.5007354723060657,1.0,0.6916773167271258,ATL,2,2023-05-22
6,Ryan Noda,Total Bases,0.5,0.49926452769393426,0.5007354723060657,1.0,0.6916773167271258,SEA,2,2023-05-22
62,Kentavious Caldwell-Pope,3P,1.5,0.49936285672686853,0.5006371432731315,1.0,1.6763142872545183,LAL,7,2023-05-22
57,Kentavious Caldwell-Pope,TRB,2.5,0.4994364584924238,0.5005635415075762,1.0,2.6717756715392302,LAL,7,2023-05-22
20,Jeff Green,PTS,4.5,0.49964914731624854,0.5003508526837515,2.0,4.669019928084806,LAL,7,2023-05-22
14,Cristian Javier,Pitcher Strikeouts,6.5,0.4996550322279908,0.5003449677720092,1.0,6.66741358059197,MIL,2,2023-05-22
60,Kentavious Caldwell-Pope,PTS+TRB+AST,14.5,0.49976598685719,0.50023401314281,1.0,14.665773603468077,LAL,7,2023-05-22
61,Kentavious Caldwell-Pope,PTS+AST,11.5,0.4997947125621822,0.5002052874378178,1.0,11.666609705727254,LAL,7,2023-05-22
59,Kentavious Caldwell-Pope,PTS,10.0,0.49985068428957224,0.5001493157104278,1.0,10.163421535918804,LAL,7,2023-05-22
58,Kentavious Caldwell-Pope,PTS+TRB,12.5,0.4998649659166091,0.5001350340833909,1.0,12.66702702213936,LAL,7,2023-05-22
103,Jayson Tatum,PTS+TRB,40.5,0.5002566579865722,0.4997433420134279,6.0,40.67125274810979,MIA,7,2023-05-23
74,Jamal Murray,3P,3.5,0.5004374941712202,0.4995625058287798,9.0,3.6741463565637553,LAL,7,2023-05-22
65,Austin Reaves,PTS+TRB,21.5,0.5005682795752604,0.4994317204247396,5.0,21.67420229911711,DEN,7,2023-05-22
77,Nikola Jokic,BLK,0.5,0.5011447649445224,0.4988552350554776,5.0,0.6954393354299608,LAL,7,2023-05-22
15,Austin Hedges,Total Bases,0.5,0.5015363307601652,0.49846366923983476,4.0,0.6962245723969451,TEX,2,2023-05-22
81,Nikola Jokic,PTS+AST,36.5,0.5017284154769406,0.4982715845230594,7.0,36.69342697954956,LAL,7,2023-05-22
7,Kyle Muller,Pitcher Strikeouts,4.5,0.5018326390126491,0.4981673609873509,10.0,4.6807839896127055,SEA,2,2023-05-22
44,Aaron Gordon,3P,0.5,0.501990308499607,0.498009691500393,5.0,0.6971357413026814,LAL,7,2023-05-22
38,Aaron Gordon,TRB,5.5,0.5021542820726795,0.49784571792732046,10.0,5.682965520714869,LAL,7,2023-05-22
22,Rui Hachimura,PTS,13.5,0.5021619493316197,0.49783805066838027,10.0,13.688118512195231,DEN,7,2023-05-22
76,Nikola Jokic,PTS,26.5,0.5024104624233623,0.49758953757663776,7.0,26.698589800956654,LAL,7,2023-05-22
13,Brian Anderson,Total Bases,0.5,0.5034876164202985,0.4965123835797015,4.0,0.7001468540562854,HOU,2,2023-05-22
87,Jaylen Brown,PTS+AST,27.5,0.503640201450684,0.49635979854931606,7.0,27.71535679036153,MIA,7,2023-05-23
40,Aaron Gordon,PTS+TRB,17.5,0.5039936853891058,0.4960063146108942,6.0,17.709831976167557,LAL,7,2023-05-22
24,Rui Hachimura,PTS+TRB+AST,18.5,0.5043352826654967,0.49566471733450335,8.0,18.714648301603148,DEN,7,2023-05-22
83,Jaylen Brown,PTS,23.5,0.5047992022232419,0.495200797776758,10.0,23.726007100950774,MIA,7,2023-05-23
99,Bam Adebayo,PTS+AST,21.5,0.5054430533559822,0.49455694664401784,7.0,21.731071061700337,BOS,7,2023-05-23
71,Jamal Murray,PTS,26.5,0.5059520268923217,0.4940479731076783,10.0,26.7444498059971,LAL,7,2023-05-22
104,Jayson Tatum,PTS+TRB+AST,45.5,0.5073068992622657,0.4926931007377343,9.0,45.790915447491244,MIA,7,2023-05-23
84,Jaylen Brown,AST,3.5,0.5082298555266144,0.49177014447338563,10.0,3.7114300840004093,MIA,7,2023-05-23
33,Dennis Schroder,PTS,7.5,0.508595664575336,0.491404335424664,8.0,7.728858487782402,DEN,7,2023-05-22
