,Player,Team_pp,Line_pp,Stat,League_pp,Date,Line_dog,League_dog,Team_dog,difference
36,Mike Trout,BAL,7.5,Hitter Fantasy Score,2,2023-05-15,9.5,MLB,LAA,-0.26666666666666666
48,No!ob,GG (MAPS 1-2 Kills),8.5,MAPS 1-2 Kills,174,2023-05-15,10.5,ESPORTS,Dota: No!ob,-0.23529411764705882
45,Ty France,BOS,7.0,Hitter Fantasy Score,2,2023-05-15,8.5,MLB,SEA,-0.21428571428571427
47,TA2000,GG (MAPS 1-2 Kills),9.5,MAPS 1-2 Kills,174,2023-05-15,11.5,ESPORTS,Dota: TA2000,-0.21052631578947367
3,Guglielmo Vicario,Sampdoria,2.5,Goalie Saves,82,2023-05-15,3.0,SOCCER,Empoli,-0.2
8,Darwin Nunez,Leicester City,2.5,Shots,82,2023-05-15,3.0,SOCCER,Liverpool,-0.2
37,Adley Rutschman,LAA,6.5,Hitter Fantasy Score,2,2023-05-15,7.5,MLB,BAL,-0.15384615384615385
95,acoR,Apeks,10.5,MAPS 1-2 Headshots,124,2023-05-15,12.0,ESPORTS,CS:GO acoR,-0.14285714285714285
50,Paul Goldschmidt,MIL,7.5,Hitter Fantasy Score,2,2023-05-15,8.5,MLB,STL,-0.13333333333333333
39,Aaron Judge,TOR,8.5,Hitter Fantasy Score,2,2023-05-15,9.5,MLB,NYY,-0.11764705882352941
40,Vladimir Guerrero Jr.,NYY,8.5,Hitter Fantasy Score,2,2023-05-15,9.5,other,TOR,-0.11764705882352941
57,Dendi,nouns (MAPS 1-2 Kills),10.5,MAPS 1-2 Kills,174,2023-05-15,11.5,ESPORTS,Dota: Dendi,-0.09523809523809523
56,StoneBank,nouns (MAPS 1-2 Kills),11.0,MAPS 1-2 Kills,174,2023-05-15,12.0,ESPORTS,Dota: StoneBank,-0.09090909090909091
64,amy,CBA (MAPS 1-2 Kills),37.5,MAPS 1-2 Kills,159,2023-05-15,40.0,ESPORTS,Val: amy,-0.06666666666666667
75,Shyy,Cloud9 (MAPS 1-2 Kills),27.0,MAPS 1-2 Kills,159,2023-05-15,28.5,ESPORTS,Val: Shyy,-0.05555555555555555
65,schnellAE,CBA (MAPS 1-2 Kills),35.0,MAPS 1-2 Kills,159,2023-05-15,36.5,ESPORTS,Val: schnellAE,-0.04285714285714286
63,Bryle,SR (MAPS 1-2 Kills),13.5,MAPS 1-2 Kills,174,2023-05-15,14.0,ESPORTS,Dota: Bryle,-0.037037037037037035
52,bzm,Tundra (MAPS 1-2 Kills),15.0,MAPS 1-2 Kills,174,2023-05-15,15.5,ESPORTS,Dota: bzm,-0.03333333333333333
83,Keoz,Apeks,31.5,MAPS 1-2 Kills,124,2023-05-15,32.5,ESPORTS,CS:GO Keoz,-0.031746031746031744
94,iM,Apeks,16.0,MAPS 1-2 Headshots,124,2023-05-15,16.5,ESPORTS,CS:GO iM,-0.03125
92,kyxsan,GamerLegion,16.5,MAPS 1-2 Headshots,124,2023-05-15,17.0,ESPORTS,CS:GO kyxsan,-0.030303030303030304
96,siuhy,Apeks,17.5,MAPS 1-2 Headshots,124,2023-05-15,18.0,ESPORTS,CS:GO siuhy,-0.02857142857142857
93,Keoz,Apeks,17.5,MAPS 1-2 Headshots,124,2023-05-15,18.0,ESPORTS,CS:GO Keoz,-0.02857142857142857
84,iM,Apeks,39.0,MAPS 1-2 Kills,124,2023-05-15,40.0,ESPORTS,CS:GO iM,-0.02564102564102564
81,jL,GamerLegion,40.5,MAPS 1-2 Kills,124,2023-05-15,41.5,ESPORTS,CS:GO jL,-0.024691358024691357
91,jL,GamerLegion,21.5,MAPS 1-2 Headshots,124,2023-05-15,22.0,ESPORTS,CS:GO jL,-0.023255813953488372
70,Ninou,Guild X (MAPS 1-2 Kills),28.5,MAPS 1-2 Kills,159,2023-05-15,29.0,ESPORTS,Val: Ninou,-0.017543859649122806
73,kiNgg,Cloud9 (MAPS 1-2 Kills),31.5,MAPS 1-2 Kills,159,2023-05-15,32.0,ESPORTS,Val: kiNgg,-0.015873015873015872
72,aNNja,Karmine Corp GC (MAPS 1-2 Kills),32.0,MAPS 1-2 Kills,159,2023-05-15,32.5,ESPORTS,Val: aNNja,-0.015625
85,acoR,Apeks,36.0,MAPS 1-2 Kills,124,2023-05-15,36.5,ESPORTS,CS:GO acoR,-0.013888888888888888
71,Smurfette,Karmine Corp GC (MAPS 1-2 Kills),34.0,MAPS 1-2 Kills,159,2023-05-15,33.5,ESPORTS,Val: Smurfette,0.014705882352941176
80,nawwk,GamerLegion,38.0,MAPS 1-2 Kills,124,2023-05-15,37.0,ESPORTS,CS:GO nawwk,0.02631578947368421
46,Quinn,Quest (MAPS 1-2 Kills),18.5,MAPS 1-2 Kills,174,2023-05-15,18.0,ESPORTS,Dota: Quinn,0.02702702702702703
61,Abed,TSM (MAPS 1-2 Kills),18.0,MAPS 1-2 Kills,174,2023-05-15,17.5,ESPORTS,Dota: Abed,0.027777777777777776
76,Xeppaa,Leviatán (MAPS 1-2 Kills),31.5,MAPS 1-2 Kills,159,2023-05-15,30.5,ESPORTS,Val: Xeppaa,0.031746031746031744
90,nawwk,GamerLegion,13.0,MAPS 1-2 Headshots,124,2023-05-15,12.5,ESPORTS,CS:GO nawwk,0.038461538461538464
69,Nelo,Guild X (MAPS 1-2 Kills),35.5,MAPS 1-2 Kills,159,2023-05-15,34.0,ESPORTS,Val: Nelo,0.04225352112676056
78,STYKO,GamerLegion,32.5,MAPS 1-2 Kills,124,2023-05-15,31.0,ESPORTS,CS:GO STYKO,0.046153846153846156
66,Sliicyy,Acend Rising (MAPS 1-2 Kills),31.0,MAPS 1-2 Kills,159,2023-05-15,29.5,ESPORTS,Val: Sliicyy,0.04838709677419355
87,isak,Apeks,31.0,MAPS 1-2 Kills,124,2023-05-15,29.5,ESPORTS,CS:GO isak,0.04838709677419355
