,Player,Team_pp,Line_pp,Stat,League_pp,Date_pp,Line_dog,League_dog,Team_dog,Date_dog,difference
20,Riyad Mahrez,Real Madrid,1.0,Shots,242,2023-05-17,2.0,SOCCER,Manchester City,2023-05-17,-1.0
15,Kevin De Bruyne,Real Madrid,1.0,Shots,242,2023-05-17,2.0,other,Manchester City,2023-05-17,-1.0
22,Federico Valverde,Manchester City,0.5,Shots,242,2023-05-17,1.0,SOCCER,Real Madrid,2023-05-17,-1.0
12,Vinicius Junior,Manchester City,1.0,Shots,242,2023-05-17,2.0,SOCCER,Real Madrid,2023-05-17,-1.0
18,Ilkay Gundogan,Real Madrid,1.0,Shots,242,2023-05-17,2.0,SOCCER,Manchester City,2023-05-17,-1.0
4,Casper Ruud,F. Cerundolo (Rome),2.0,Aces,5,2023-05-17,3.0,other,Casper Ruud,,-0.5
215,Mookie Betts,MIN,7.0,Hitter Fantasy Score,2,2023-05-16,9.5,MLB,LAD,2023-05-17,-0.35714285714285715
60,Dejan Joveljic,Columbus,1.5,Shots,82,2023-05-17,2.0,SOCCER,Dejan Joveljic,,-0.3333333333333333
216,Carlos Correa,LAD,6.0,Hitter Fantasy Score,2,2023-05-16,7.5,MLB,MIN,2023-05-17,-0.25
49,Karol Swiderski,Chicago,2.5,Shots,82,2023-05-17,3.0,SOCCER,Karol Swiderski,,-0.2
108,JG,AG (MAPS 1-2 Kills),10.0,MAPS 1-2 Kills,174,2023-05-17,12.0,ESPORTS,Dota: JG,2023-05-16,-0.2
198,dnm,felt (MAPS 1-2 Kills),13.5,MAPS 1-2 Kills,174,2023-05-17,16.0,ESPORTS,Dota: dnm,2023-05-16,-0.18518518518518517
56,Lucas Zelarayan,LA Galaxy,3.0,Shots,82,2023-05-17,3.5,SOCCER,Columbus,2023-05-17,-0.16666666666666666
53,Jonathan Klinsmann,Columbus,3.0,Goalie Saves,82,2023-05-17,3.5,SOCCER,LA Galaxy,2023-05-17,-0.16666666666666666
71,Julian Gressel,Dallas,6.0,Crosses,82,2023-05-17,7.0,SOCCER,Vancouver,2023-05-18,-0.16666666666666666
107,Yowe,XERXIA (MAPS 1-2 Kills),15.5,MAPS 1-2 Kills,174,2023-05-17,18.0,ESPORTS,Dota: Yowe,2023-05-16,-0.16129032258064516
210,Trea Turner,SF,7.5,Hitter Fantasy Score,2,2023-05-16,8.5,MLB,PHI,2023-05-17,-0.13333333333333333
44,Elena Rybakina,I. Swiatek (Rome),4.0,Aces,5,2023-05-17,4.5,other,Elena Rybakina,,-0.125
154,TA2000,OG (MAPS 1-2 Kills),14.0,MAPS 1-2 Kills,174,2023-05-17,15.5,ESPORTS,Dota: TA2000,2023-05-16,-0.10714285714285714
206,Kevin Love,BOS,5.0,TRB,7,2023-05-17,5.5,NBA,MIA,2023-05-18,-0.1
119,Armel,Liquid (MAPS 1-2 Kills),11.0,MAPS 1-2 Kills,174,2023-05-17,12.0,ESPORTS,Dota: Armel,2023-05-16,-0.09090909090909091
117,miCKe,Secret (MAPS 1-2 Kills),16.5,MAPS 1-2 Kills,174,2023-05-17,18.0,ESPORTS,Dota: miCKe,2023-05-16,-0.09090909090909091
203,Kevin Love,BOS,7.0,PTS,7,2023-05-17,7.5,NBA,MIA,2023-05-18,-0.07142857142857142
123,Yuragi,Quest (MAPS 1-2 Kills),14.5,MAPS 1-2 Kills,174,2023-05-17,15.5,ESPORTS,Dota: Yuragi,2023-05-16,-0.06896551724137931
120,skiter,Entity (MAPS 1-2 Kills),15.5,MAPS 1-2 Kills,174,2023-05-17,16.5,ESPORTS,Dota: skiter,2023-05-16,-0.06451612903225806
114,Mikoto,BLCK (MAPS 1-2 Kills),16.0,MAPS 1-2 Kills,174,2023-05-17,17.0,ESPORTS,Dota: Mikoto,2023-05-16,-0.0625
109,CDR,Bleed (MAPS 1-2 Kills),12.0,MAPS 1-2 Kills,174,2023-05-17,12.5,ESPORTS,Dota: CDR,2023-05-16,-0.041666666666666664
116,Karl,Talon (MAPS 1-2 Kills),12.0,MAPS 1-2 Kills,174,2023-05-17,12.5,ESPORTS,Dota: Karl,2023-05-16,-0.041666666666666664
159,No!ob,OG (MAPS 1-2 Kills),12.5,MAPS 1-2 Kills,174,2023-05-17,13.0,ESPORTS,Dota: No!ob,2023-05-16,-0.04
220,lauNX,Astralis Talent,38.5,MAPS 1-2 Kills,124,2023-05-17,40.0,ESPORTS,CS:GO lauNX,2023-05-16,-0.03896103896103896
192,Caleb Martin,BOS,13.0,PTS+TRB,7,2023-05-17,13.5,NBA,MIA,2023-05-18,-0.038461538461538464
160,Marcus Smart,MIA,14.0,PTS,7,2023-05-17,14.5,NBA,BOS,2023-05-18,-0.03571428571428571
137,bzm,Quest (MAPS 1-2 Kills),16.0,MAPS 1-2 Kills,174,2023-05-17,16.5,ESPORTS,Dota: bzm,2023-05-16,-0.03125
103,coldzera,Websterz,35.5,MAPS 1-2 Kills,124,2023-05-17,36.5,ESPORTS,CS:GO coldzera,2023-05-16,-0.028169014084507043
