,Player,Line_pp,Line_dog,Stat,difference,Date,League_dog,Team_dog
98,Joakim Maehle,0.5,1.0,Shots,-1.0,2023-06-04,SOCCER,Atalanta
63,Fabio Quagliarella,1.5,2.0,Shots,-0.3333333333333333,2023-06-04,SOCCER,Sampdoria
151,Parker,13.5,16.5,MAPS 1-2 Kills,-0.2222222222222222,2023-06-04,ESPORTS,beastcoast 
72,Igor Zubeldia,2.5,3.0,Clearances,-0.2,2023-06-04,SOCCER,Real Sociedad
148,DaaD-,12.5,14.5,MAPS 1-2 Kills,-0.16,2023-06-04,ESPORTS,Mad Kings Esports 
0,Miles Mikolas,4.5,5.0,Pitcher Strikeouts,-0.1111111111111111,2023-06-04,MLB,STL
33,Kerrith Whyte,50.5,55.5,Rush Yards,-0.09900990099009901,2023-06-04,USFL,Generals
132,sLowi,36.5,39.0,MAPS 1-2 Kills,-0.0684931506849315,2023-06-04,ESPORTS, HAVU
155,StoneBank,15.5,16.5,MAPS 1-2 Kills,-0.06451612903225806,2023-06-04,ESPORTS,B8 
136,v1olent`,9.5,10.0,MAPS 1-2 Kills,-0.05263157894736842,2023-06-04,ESPORTS, Nemiga Gaming
182,shyyne,33.0,34.5,MAPS 1-2 Kills,-0.045454545454545456,2023-06-04,ESPORTS, Coalesce
171,torzsi,33.5,35.0,MAPS 1-2 Kills,-0.04477611940298507,2023-06-04,ESPORTS,MOUZ 
170,torzsi,33.5,35.0,MAPS 1-2 Kills,-0.04477611940298507,2023-06-04,ESPORTS,MOUZ 
134,Nightfall,15.5,16.0,MAPS 1-2 Kills,-0.03225806451612903,2023-06-04,ESPORTS,BetBoom Team 
130,sAvana1,35.5,36.5,MAPS 1-2 Kills,-0.028169014084507043,2023-06-04,ESPORTS, Sampi
174,Nexius,36.5,37.5,MAPS 1-2 Kills,-0.0273972602739726,2023-06-04,ESPORTS,MOUZ NXT 
158,dycha,36.5,37.5,MAPS 1-2 Kills,-0.0273972602739726,2023-06-04,ESPORTS, ENCE
164,xertioN,38.0,39.0,MAPS 1-2 Kills,-0.02631578947368421,2023-06-04,ESPORTS,MOUZ 
43,Gabe Vincent,19.0,19.5,PTS+TRB+AST,-0.02631578947368421,2023-06-04,NBA,MIA
165,xertioN,38.0,39.0,MAPS 1-2 Kills,-0.02631578947368421,2023-06-04,ESPORTS,MOUZ 
36,Josh Love,207.5,212.5,Pass Yards,-0.024096385542168676,2023-06-04,USFL,Breakers
26,Bam Adebayo,21.5,22.0,PTS+AST,-0.023255813953488372,2023-06-04,NBA,MIA
177,Ryujin,34.5,35.0,MAPS 1-2 Kills,-0.014492753623188406,2023-06-04,ESPORTS, ARCRED
181,AZUWU,36.0,36.5,MAPS 1-2 Kills,-0.013888888888888888,2023-06-04,ESPORTS, Coalesce
157,Nertz,38.0,38.5,MAPS 1-2 Kills,-0.013157894736842105,2023-06-04,ESPORTS, ENCE
163,frozen,39.0,39.5,MAPS 1-2 Kills,-0.01282051282051282,2023-06-04,ESPORTS,MOUZ 
162,frozen,39.0,39.5,MAPS 1-2 Kills,-0.01282051282051282,2023-06-04,ESPORTS,MOUZ 
128,MATYS,43.0,43.5,MAPS 1-2 Kills,-0.011627906976744186,2023-06-04,ESPORTS, Sampi
159,SunPayus,37.5,37.0,MAPS 1-2 Kills,0.013333333333333334,2023-06-04,ESPORTS, ENCE
183,leaf,31.0,30.5,MAPS 1-2 Kills,0.016129032258064516,2023-06-04,ESPORTS, Coalesce
131,ottoNd,38.5,37.5,MAPS 1-2 Kills,0.025974025974025976,2023-06-04,ESPORTS, HAVU
133,xseveN,36.0,35.0,MAPS 1-2 Kills,0.027777777777777776,2023-06-04,ESPORTS, HAVU
166,JDC,33.0,32.0,MAPS 1-2 Kills,0.030303030303030304,2023-06-04,ESPORTS,MOUZ 
135,gpk,16.5,16.0,MAPS 1-2 Kills,0.030303030303030304,2023-06-04,ESPORTS,BetBoom Team 
167,JDC,33.0,32.0,MAPS 1-2 Kills,0.030303030303030304,2023-06-04,ESPORTS,MOUZ 
161,Snappi,33.0,32.0,MAPS 1-2 Kills,0.030303030303030304,2023-06-04,ESPORTS, ENCE
144,Yuragi,16.0,15.5,MAPS 1-2 Kills,0.03125,2023-06-04,ESPORTS,OG 
178,KENSI,41.5,40.0,MAPS 1-2 Kills,0.03614457831325301,2023-06-04,ESPORTS,Aurora 
152,DarkMago,12.5,12.0,MAPS 1-2 Kills,0.04,2023-06-04,ESPORTS,beastcoast 
175,DSSj,36.0,34.5,MAPS 1-2 Kills,0.041666666666666664,2023-06-04,ESPORTS, ARCRED
140,mini,12.0,11.5,MAPS 1-2 Kills,0.041666666666666664,2023-06-04,ESPORTS, Hokori
55,Kentavious Caldwell-Pope,10.0,9.5,PTS,0.05,2023-06-04,NBA,DEN
160,Maden,34.5,32.5,MAPS 1-2 Kills,0.057971014492753624,2023-06-04,ESPORTS, ENCE
169,dexter,32.5,30.5,MAPS 1-2 Kills,0.06153846153846154,2023-06-04,ESPORTS,MOUZ 
168,dexter,32.5,30.5,MAPS 1-2 Kills,0.06153846153846154,2023-06-04,ESPORTS,MOUZ 
150,DCMC,15.0,14.0,MAPS 1-2 Kills,0.06666666666666667,2023-06-04,ESPORTS, Balrogs
138,RAMZES666,13.5,12.5,MAPS 1-2 Kills,0.07407407407407407,2023-06-04,ESPORTS,9Pandas 
141,4dr,13.0,12.0,MAPS 1-2 Kills,0.07692307692307693,2023-06-04,ESPORTS, Hokori
145,bzm,18.0,16.5,MAPS 1-2 Kills,0.08333333333333333,2023-06-04,ESPORTS,OG 
142,Lumiere,17.5,16.0,MAPS 1-2 Kills,0.08571428571428572,2023-06-04,ESPORTS,Infamous 
137,Malr1ne,10.0,9.0,MAPS 1-2 Kills,0.1,2023-06-04,ESPORTS, Nemiga Gaming
153,Pakazs,16.5,14.5,MAPS 1-2 Kills,0.12121212121212122,2023-06-04,ESPORTS, Evil Geniuses
139,squad1x,12.0,10.5,MAPS 1-2 Kills,0.125,2023-06-04,ESPORTS, Virtus.Pro
81,Unai Nunez,4.0,3.5,Clearances,0.125,2023-06-04,SOCCER,Celta Vigo
147,Adzantick,14.5,12.5,MAPS 1-2 Kills,0.13793103448275862,2023-06-04,ESPORTS, D1 Hustlers
