player,G,date,age,team,H/A,opp,W/L,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,pos,KM
Precious Achiuwa,1,2023-10-25,24-036,TOR,1,MIN,3,0,24.283333333333335,4,9,.444,0,1,.000,0,0,,3,5,8,0,0,0,2,1,8,4.5,-5,C,15
Bam Adebayo,1,2023-10-25,26-099,MIA,1,DET,1,1,32.13333333333333,7,13,.538,0,0,,8,10,.800,2,6,8,3,0,2,2,3,22,18.4,-4,C,15
Ochai Agbaji,1,2023-10-25,23-188,UTA,1,SAC,-16,0,19.45,2,6,.333,1,2,.500,0,0,,0,3,3,0,0,0,0,2,5,1.7,-11,SG,15
Nickeil Alexander-Walker,1,2023-10-25,25-053,MIN,0,TOR,-3,1,22.633333333333333,1,5,.200,0,3,.000,0,0,,0,4,4,2,1,0,1,3,2,0.3,-17,SG,15
Grayson Allen,1,2023-10-24,28-016,PHX,0,GSW,4,1,20.916666666666668,0,6,.000,0,5,.000,0,0,,3,1,4,2,0,0,1,2,0,-2.2,-4,SG,15
Grayson Allen,2,2023-10-26,28-018,PHX,0,LAL,-5,1,34.7,2,6,.333,2,4,.500,0,0,,1,5,6,4,0,0,0,3,6,6.4,-2,SG,15
Kyle Anderson,1,2023-10-25,30-035,MIN,0,TOR,-3,0,30.316666666666666,3,9,.333,0,1,.000,1,2,.500,2,7,9,5,2,0,1,0,7,9.5,+15,PF,15
Giannis Antetokounmpo,1,2023-10-26,28-324,MIL,1,PHI,1,1,35.11666666666667,10,22,.455,0,3,.000,3,9,.333,5,8,13,3,2,2,7,4,23,12.0,-13,PF,15
Cole Anthony,1,2023-10-25,23-163,ORL,1,HOU,30,0,24.083333333333332,8,12,.667,1,2,.500,3,3,1.000,1,7,8,2,0,0,0,2,20,18.2,+17,PG,15
OG Anunoby,1,2023-10-25,26-100,TOR,1,MIN,3,1,33.8,7,13,.538,4,9,.444,2,2,1.000,0,6,6,1,2,3,2,2,20,17.5,+6,SF,15
Deni Avdija,1,2023-10-25,22-295,WAS,0,IND,-23,1,20.666666666666668,4,8,.500,0,0,,1,2,.500,2,5,7,5,1,0,2,0,9,10.0,-15,SF,15
Deandre Ayton,1,2023-10-25,25-094,POR,0,LAC,-12,1,23.083333333333332,2,4,.500,0,0,,0,0,,3,9,12,1,3,1,3,5,4,6.2,-5,C,15
Marvin Bagley III,1,2023-10-25,24-225,DET,0,MIA,-1,0,16.183333333333334,3,3,1.000,0,0,,2,2,1.000,2,6,8,3,0,1,1,1,8,11.7,+3,C,15
Patrick Baldwin Jr.,1,2023-10-25,20-341,WAS,0,IND,-23,0,3.3833333333333333,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+2,SF,15
LaMelo Ball,1,2023-10-25,22-064,CHA,1,ATL,6,1,30.783333333333335,4,15,.267,4,11,.364,3,4,.750,1,5,6,10,1,0,3,3,15,11.7,+7,PG,15
Paolo Banchero,1,2023-10-25,20-347,ORL,1,HOU,30,1,27.9,3,6,.500,0,1,.000,6,7,.857,0,5,5,5,1,0,1,2,12,12.8,+13,PF,15
Desmond Bane,1,2023-10-25,25-122,MEM,1,NOP,-7,1,36.13333333333333,11,22,.500,5,10,.500,4,5,.800,0,5,5,5,2,1,2,1,31,24.9,+6,SG,15
