player,G,date,age,team,H/A,Opp,W/L,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,pos,season,KM
Precious Achiuwa,1,2023-10-25,24-036,TOR,1,MIN,3,0,24.283333333333335,4,9,.444,0,1,.000,0,0,,3,5,8,0,0,0,2,1,8,4.5,-5,C,2024,15
Precious Achiuwa,2,2023-10-27,24-038,TOR,0,CHI,-1,0,22.633333333333333,2,5,.400,1,3,.333,3,3,1.000,2,7,9,1,0,0,3,6,8,4.1,-22,C,2024,15
Precious Achiuwa,3,2023-10-28,24-039,TOR,1,PHI,-7,0,18.25,3,10,.300,0,1,.000,0,0,,3,4,7,3,0,1,1,1,6,4.9,+5,C,2024,15
Bam Adebayo,1,2023-10-25,26-099,MIA,1,DET,1,1,32.13333333333333,7,13,.538,0,0,,8,10,.800,2,6,8,3,0,2,2,3,22,18.4,-4,C,2024,15
Bam Adebayo,2,2023-10-27,26-101,MIA,0,BOS,-8,1,35.016666666666666,10,23,.435,0,0,,7,9,.778,3,4,7,2,1,2,3,1,27,17.8,0,C,2024,15
Bam Adebayo,3,2023-10-28,26-102,MIA,0,MIN,-16,1,32.9,7,14,.500,0,1,.000,5,10,.500,1,2,3,2,0,0,4,4,19,7.1,-10,C,2024,15
Ochai Agbaji,1,2023-10-25,23-188,UTA,1,SAC,-16,0,19.45,2,6,.333,1,2,.500,0,0,,0,3,3,0,0,0,0,2,5,1.7,-11,SG,2024,15
Ochai Agbaji,2,2023-10-27,23-190,UTA,1,LAC,2,0,12.366666666666667,1,3,.333,0,2,.000,0,0,,0,1,1,2,1,1,0,3,2,2.5,-2,SG,2024,15
Ochai Agbaji,3,2023-10-28,23-191,UTA,0,PHX,-22,0,6.366666666666666,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,1,0,0,0,0.0,-3,SG,2024,15
Ochai Agbaji,4,2023-10-30,23-193,UTA,0,DEN,-8,0,14.633333333333333,0,5,.000,0,2,.000,0,0,,1,1,2,2,0,0,0,0,0,-1.1,-1,SG,2024,15
