player,G,date,age,team,H/A,opp,W/L,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,pos,season,KM
A.J. Price,1,2012-10-30,26-023,WAS,0,CLE,-10,1,29.4,2,13,.154,2,9,.222,1,1,1.000,1,1,2,6,0,0,1,1,7,2.5,-11,PG,2013,15
A.J. Price,2,2012-11-03,26-027,WAS,1,BOS,-3,1,29.433333333333334,3,10,.300,2,5,.400,0,0,,0,4,4,4,2,0,2,0,8,6.2,-12,PG,2013,15
A.J. Price,3,2012-11-07,26-031,WAS,0,BOS,-6,1,36.68333333333333,6,13,.462,3,8,.375,0,0,,0,5,5,7,1,0,6,3,15,8.5,+6,PG,2013,15
A.J. Price,4,2012-11-09,26-033,WAS,1,MIL,-10,1,36.18333333333333,4,12,.333,1,5,.200,3,3,1.000,0,6,6,9,0,0,3,3,12,9.1,+2,PG,2013,15
A.J. Price,5,2012-11-10,26-034,WAS,0,IND,-4,1,36.5,5,12,.417,2,7,.286,0,0,,0,3,3,14,0,0,0,2,12,15.5,+1,PG,2013,15
A.J. Price,6,2012-11-13,26-037,WAS,0,CHA,-16,1,32.9,2,12,.167,1,7,.143,1,2,.500,1,2,3,6,1,0,2,2,6,1.7,-8,PG,2013,15
A.J. Price,7,2012-11-14,26-038,WAS,0,DAL,-6,1,18.4,4,7,.571,3,4,.750,0,0,,1,0,1,2,1,0,2,2,11,8.0,-16,PG,2013,15
A.J. Price,8,2012-11-17,26-041,WAS,1,UTA,-7,1,31.116666666666667,3,5,.600,2,2,1.000,0,0,,1,2,3,3,2,0,0,2,8,10.3,+6,PG,2013,15
A.J. Price,9,2012-11-19,26-043,WAS,1,IND,-7,1,23.666666666666668,2,8,.250,1,5,.200,3,3,1.000,1,1,2,0,1,0,0,0,8,5.2,-16,PG,2013,15
A.J. Price,10,2012-11-21,26-045,WAS,0,ATL,-1,0,31.4,6,11,.545,1,3,.333,1,1,1.000,2,1,3,7,0,0,1,2,14,13.5,+12,PG,2013,15
A.J. Price,11,2012-11-24,26-048,WAS,1,CHA,-2,0,20.45,1,5,.200,0,3,.000,0,0,,0,1,1,0,0,0,2,2,2,-3.6,+11,PG,2013,15
A.J. Price,12,2012-11-26,26-050,WAS,1,SAS,-26,1,33.166666666666664,4,8,.500,1,2,.500,2,3,.667,1,4,5,7,1,0,2,0,11,12.4,-18,PG,2013,15
A.J. Price,13,2012-11-28,26-052,WAS,1,POR,2,1,30.983333333333334,1,7,.143,1,3,.333,0,0,,0,3,3,6,0,0,1,3,3,1.4,0,PG,2013,15
