,player,opp,home,stat,season_avg,mov_avg,expected,line,last_10,season,blend,prob,Z
0,Jamal Murray,DEN,1,PTS+AST,27.8,29.6,29.6,28.5,40.0,42.99065420560748,41.49532710280374,0.568478281228814,0.038596491228070226
1,Jonas Valanciunas,NOP,1,PTS+TRB,24.0,20.5,20.5,21.5,40.0,57.3170731707317,48.65853658536585,0.3990451535437637,-0.046511627906976744
2,Nikola Vucevic,CHI,1,PTS+AST,20.7,18.4,18.4,18.5,50.0,61.627906976744185,55.81395348837209,0.47513915574555954,-0.005405405405405482
3,DeMar DeRozan,CHI,1,FGA,17.7,17.4,17.4,16.0,50.0,57.692307692307686,53.84615384615384,0.570270849442484,0.08749999999999991
4,Walker Kessler,UTA,0,PTS+AST,10.1,12.6,12.6,10.5,50.0,42.30769230769231,46.15384615384615,0.7123936134421189,0.19999999999999996
5,Scoot Henderson,POR,1,PTS+AST,12.2,12.6,12.6,16.5,25.0,25.0,25.0,0.13710822609150464,-0.2363636363636364
6,Chet Holmgren,OKC,0,PTS,15.0,15.3,15.3,13.5,75.0,75.0,75.0,0.6648742646036365,0.1333333333333334
7,P.J. Washington,CHA,1,PTS+AST,18.1,21.1,21.1,17.5,50.0,50.0,50.0,0.7793805087523293,0.2057142857142858
8,Daniel Gafford,WAS,1,TRB+AST,6.7,9.1,9.1,7.5,60.0,40.0,50.0,0.6876838280582143,0.2133333333333333
9,Tyler Herro,MIA,0,PTS+TRB+AST,26.8,31.2,31.2,32.5,30.0,28.57142857142857,29.285714285714285,0.397088554476296,-0.04000000000000002
10,Jaden McDaniels,MIN,0,PTS,12.1,11.2,11.2,9.5,70.0,65.0,67.5,0.6807941865284699,0.17894736842105255
11,Tyus Jones,WAS,1,3P,1.4,1.5,1.5,1.5,30.0,42.592592592592595,36.2962962962963,0.44217459962892525,0.0
12,DeMar DeRozan,CHI,1,TRB+AST,9.6,7.5,7.5,9.0,10.0,47.43589743589743,28.717948717948715,0.22359238698028538,-0.16666666666666666
13,Deni Avdija,WAS,1,TRB+AST,9.2,10.3,10.3,10.0,60.0,37.9746835443038,48.9873417721519,0.45443786405916153,0.030000000000000072
14,Jonas Valanciunas,NOP,1,TRB,10.1,9.5,9.5,9.5,50.0,59.756097560975604,54.8780487804878,0.47817397776279236,0.0
15,Xavier Tillman Sr.,MEM,1,TRB,5.1,8.2,8.2,8.0,30.0,17.28395061728395,23.641975308641975,0.43534700400986615,0.02499999999999991
16,DeMar DeRozan,CHI,1,TOV,2.0,0.9,0.9,1.5,30.0,61.53846153846154,45.769230769230774,0.22751764649286166,-0.39999999999999997
17,Jrue Holiday,BOS,0,PTS+TRB+AST,30.5,27.3,27.3,24.5,70.0,75.53956834532374,72.76978417266187,0.6959683186864535,0.11428571428571431
18,Ziaire Williams,MEM,1,PTS+TRB,8.5,14.1,14.1,17.5,30.0,9.433962264150944,19.71698113207547,0.1800035502275633,-0.1942857142857143
19,Andrew Wiggins,GSW,0,PTS+TRB+AST,24.3,18.4,18.4,19.5,50.0,69.44444444444444,59.72222222222222,0.3848936570999193,-0.05641025641025648
20,Shai Gilgeous-Alexander,OKC,0,PTS+TRB,36.1,34.2,34.2,35.5,60.0,55.55555555555556,57.77777777777778,0.40155490262845395,-0.03661971830985907
21,Gordon Hayward,CHA,1,PTS+TRB,19.0,20.7,20.7,18.5,50.0,47.16981132075472,48.58490566037736,0.6754314587522783,0.11891891891891888
22,Shaedon Sharpe,POR,1,PTS+AST,11.5,22.4,22.4,24.0,60.0,10.714285714285714,35.357142857142854,0.31850552157167933,-0.06666666666666672
23,Jaren Jackson Jr.,MEM,1,PTS+AST,19.0,23.2,23.2,22.5,50.0,26.136363636363637,38.06818181818182,0.5442349154850707,0.03111111111111108
24,Karl-Anthony Towns,MIN,0,TRB+AST,13.1,12.6,12.6,11.5,80.0,68.75,74.375,0.6050416959054545,0.09565217391304345
25,Isaiah Stewart,DET,0,PTS+TRB,19.7,20.8,20.8,21.5,40.0,38.88888888888889,39.44444444444444,0.4249772564841219,-0.032558139534883686
26,Jaylen Brown,BOS,0,PTS+AST,24.2,29.6,29.6,25.5,60.0,51.87500000000001,55.9375,0.7705155810801723,0.16078431372549026
27,Luka Doncic,DAL,0,3P,2.9,4.5,4.5,3.5,50.0,31.88405797101449,40.94202898550724,0.657704044165409,0.2857142857142857
28,Ben Simmons,BKN,1,AST,6.2,6.5,6.5,8.5,10.0,20.0,15.0,0.2084269668092218,-0.23529411764705882
29,Trae Young,ATL,0,PTS+TRB,29.1,26.8,26.8,28.5,40.0,50.48543689320388,45.24271844660194,0.36054782031839017,-0.05964912280701752
30,Shai Gilgeous-Alexander,OKC,0,TOV,2.8,2.7,2.7,2.5,50.0,52.77777777777778,51.388888888888886,0.5063755089265384,0.08000000000000007
31,Mark Williams,CHA,1,STL,0.7,0.7,0.7,0.5,40.0,47.82608695652174,43.913043478260875,0.5034146962085905,0.3999999999999999
32,Brook Lopez,MIL,1,TRB,6.3,5.2,5.2,5.5,40.0,57.59493670886076,48.79746835443038,0.4190869954640217,-0.054545454545454515
33,Jamal Murray,DEN,1,PTS+TRB,25.8,24.6,24.6,25.5,40.0,48.598130841121495,44.29906542056075,0.41530357011836494,-0.03529411764705877
34,Tyler Herro,MIA,0,PTS+TRB,23.1,27.6,27.6,29.5,20.0,22.321428571428573,21.160714285714285,0.3485938101169411,-0.0644067796610169
35,Derrick White,BOS,0,PTS+AST,15.5,19.8,19.8,14.5,70.0,48.78048780487805,59.390243902439025,0.8871531522328642,0.3655172413793104
36,Stephen Curry,GSW,0,TRB,5.6,5.3,5.3,4.5,80.0,69.1919191919192,74.5959595959596,0.6104817806082711,0.17777777777777773
37,Tyus Jones,WAS,1,TRB+AST,7.4,8.9,8.9,10.0,20.0,20.37037037037037,20.185185185185183,0.2822217393118369,-0.10999999999999996
38,Luguentz Dort,OKC,0,TRB,4.6,4.6,4.6,4.5,70.0,50.0,60.0,0.48676599920428587,0.022222222222222143
39,Jrue Holiday,BOS,0,PTS,18.3,15.3,15.3,13.5,80.0,72.66187050359713,76.33093525179856,0.6648742646036365,0.1333333333333334
40,Domantas Sabonis,SAC,1,TRB,11.4,13.3,13.3,12.5,40.0,39.39393939393939,39.696969696969695,0.5694654452589405,0.06400000000000006
41,Kevon Looney,GSW,0,PTS+TRB,14.3,17.5,17.5,19.5,40.0,22.727272727272727,31.363636363636363,0.30546576566618533,-0.10256410256410256
42,Trae Young,ATL,0,3PA,6.9,7.5,7.5,7.0,50.0,34.95145631067961,42.47572815533981,0.47536147351239455,0.07142857142857142
43,Scottie Barnes,TOR,0,3PA,3.0,3.3,3.3,3.5,40.0,35.80246913580247,37.901234567901234,0.41966180252518903,-0.0571428571428572
44,Luka Doncic,DAL,0,AST,8.1,8.3,8.3,8.5,20.0,42.028985507246375,31.014492753623188,0.4492516676043483,-0.0235294117647058
45,Anthony Edwards,MIN,0,TRB+AST,10.1,11.4,11.4,9.0,60.0,50.53763440860215,55.26881720430107,0.7012786348588281,0.2666666666666667
46,Jordan Poole,WAS,1,PTS+AST,23.7,20.7,20.7,27.5,20.0,34.234234234234236,27.117117117117118,0.07251757736928788,-0.2472727272727273
47,Bam Adebayo,MIA,0,PTS+AST,21.5,21.6,21.6,22.5,30.0,46.875,38.4375,0.40977290823676216,-0.03999999999999994
48,Michael Porter Jr.,DEN,1,TRB,6.1,7.6,7.6,6.0,60.0,35.0,47.5,0.6353789405029321,0.2666666666666666
49,Zach LaVine,CHI,1,ORB,0.5,0.3,0.3,0.5,10.0,43.20987654320987,26.604938271604937,0.259181779318282,-0.4
50,Lauri Markkanen,UTA,0,PTS,25.6,26.2,26.2,25.5,50.0,44.285714285714285,47.14285714285714,0.5416188515618543,0.027450980392156835
51,Alperen Sengun,HOU,0,PTS+TRB+AST,28.0,33.9,33.9,32.5,60.0,25.64102564102564,42.82051282051282,0.5844165157248933,0.043076923076923034
52,Damian Lillard,MIL,1,TRB+AST,12.0,12.3,12.3,11.0,70.0,52.459016393442624,61.22950819672131,0.572249642717735,0.11818181818181825
53,John Collins,UTA,0,TRB,6.9,8.2,8.2,8.5,40.0,32.038834951456316,36.01941747572816,0.43534700400986615,-0.035294117647058906
54,Damian Lillard,MIL,1,3P,4.1,3.0,3.0,3.5,40.0,52.459016393442624,46.22950819672131,0.35276811121776874,-0.14285714285714285
55,Brook Lopez,MIL,1,3PA,3.9,3.9,3.9,4.0,30.0,41.139240506329116,35.56962025316456,0.3516346237900496,-0.025000000000000022
56,Kyle Kuzma,WAS,1,TRB,7.2,6.5,6.5,7.0,30.0,41.7910447761194,35.8955223880597,0.3272422198694327,-0.07142857142857142
57,Coby White,CHI,1,PTS+TRB,12.6,13.8,13.8,13.5,60.0,39.743589743589745,49.871794871794876,0.514212007517744,0.022222222222222275
58,Aaron Gordon,DEN,1,3P,0.9,0.3,0.3,0.5,50.0,55.670103092783506,52.83505154639175,0.259181779318282,-0.4
59,Zach LaVine,CHI,1,STL,0.9,0.4,0.4,0.5,50.0,55.55555555555556,52.77777777777778,0.32967995396436056,-0.19999999999999996
60,Deandre Ayton,POR,1,PTS+TRB+AST,29.1,26.9,26.9,23.5,60.0,72.07207207207207,66.03603603603604,0.7379763019775083,0.14468085106382972
61,Stephen Curry,GSW,0,PTS+TRB,33.2,38.2,38.2,35.5,50.0,42.92929292929293,46.464646464646464,0.6608442527181633,0.0760563380281691
62,Keegan Murray,SAC,1,PTS,12.1,14.1,14.1,15.5,30.0,32.18390804597701,31.091954022988507,0.34056655299871685,-0.09032258064516131
63,Terry Rozier,CHA,1,PTS+TRB,25.2,23.4,23.4,23.5,70.0,68.18181818181817,69.0909090909091,0.47796574912589707,-0.004255319148936231
64,Jakob Poeltl,TOR,0,PTS+TRB,21.3,17.4,17.4,16.5,60.0,73.68421052631578,66.84210526315789,0.570270849442484,0.05454545454545446
65,Ziaire Williams,MEM,1,PTS,6.1,8.8,8.8,11.5,30.0,15.09433962264151,22.547169811320757,0.17802965642509794,-0.23478260869565212
66,Cade Cunningham,DET,0,PTS+TRB,25.5,23.1,23.1,24.5,50.0,50.0,50.0,0.37337897425260824,-0.057142857142857086
67,LaMelo Ball,CHA,1,AST,8.5,9.0,9.0,8.0,70.0,46.15384615384615,58.07692307692308,0.5443473956775811,0.125
68,De'Andre Hunter,ATL,0,STL,0.6,1.1,1.1,0.5,40.0,39.53488372093023,39.76744186046511,0.6671289163019205,1.2000000000000002
69,Ziaire Williams,MEM,1,PTS+TRB+AST,9.3,15.7,15.7,19.5,30.0,9.433962264150944,19.71698113207547,0.16738309952740593,-0.1948717948717949
70,Ben Simmons,BKN,1,PTS+AST,13.3,13.1,13.1,16.5,30.0,28.888888888888886,29.444444444444443,0.17177791435773337,-0.20606060606060608
71,Stephen Curry,GSW,0,PTS,27.7,32.9,32.9,30.5,40.0,37.878787878787875,38.93939393939394,0.6532584159636656,0.07868852459016389
72,Jordan Clarkson,UTA,0,PTS+AST,24.8,18.8,18.8,21.5,60.0,69.23076923076923,64.61538461538461,0.25900838013175986,-0.12558139534883717
73,Deandre Ayton,POR,1,PTS+TRB,27.5,25.5,25.5,22.5,70.0,72.97297297297297,71.48648648648648,0.7165023956734672,0.13333333333333333
74,Talen Horton-Tucker,UTA,0,TRB,3.1,3.0,3.0,3.5,50.0,36.231884057971016,43.11594202898551,0.35276811121776874,-0.14285714285714285
