,QUARTER,TIME_REMAINING,HOME_ACTION,AWAY_ACTION,HOME_SCORE,AWAY_SCORE,Home_0,Home_1,Home_2,Home_3,Home_4,away_0,away_1,away_2,away_3,away_4
0,1,11:41.0,Turnover by T. Herro (bad pass),,0,0,Tyler Herro,Bam Adebayo,Jimmy Butler,Kyle Lowry,Caleb Martin,Tyler Herro,Bam Adebayo,Jimmy Butler,Kyle Lowry,Caleb Martin
1,1,11:25.0,,R. Jackson misses 2-pt jump shot from 18 ft,0,0,,,,,,,,,,
2,1,11:21.0,Defensive rebound by T. Herro,,0,0,,,,,,,,,,
3,1,11:08.0,C. Martin misses 3-pt jump shot from 24 ft,,0,0,,,,,,,,,,
4,1,11:04.0,,Defensive rebound by T. Mann,0,0,,,,,,,,,,
5,1,10:50.0,,M. Morris makes 3-pt jump shot from 26 ft (assist by R. Jackson),0,3,,,,,,,,,,
6,1,10:36.0,B. Adebayo makes 2-pt jump shot from 12 ft (assist by T. Herro),,2,3,Tyler Herro,,,,,,,,,
7,1,10:22.0,,R. Jackson makes 2-pt layup from 2 ft (assist by P. George),2,5,,,,,,,,,,
8,1,10:03.0,B. Adebayo makes 2-pt jump shot from 12 ft (assist by T. Herro),,4,5,,,,,,,,,,
9,1,9:47.0,,I. Zubac makes 2-pt hook shot from 5 ft (assist by R. Jackson),4,7,,,,,,,,,,
10,1,9:29.0,K. Lowry makes 3-pt jump shot from 26 ft (assist by J. Butler),,7,7,,,,,,,,,,
11,1,9:18.0,,P. George misses 3-pt jump shot from 27 ft,7,7,,,,,,,,,,
12,1,9:15.0,,Offensive rebound by I. Zubac,7,7,,,,,,,,,,
13,1,9:13.0,,Turnover by I. Zubac (bad pass; steal by B. Adebayo),7,7,,,,,,,,,,
14,1,9:08.0,C. Martin misses 3-pt jump shot from 24 ft,,7,7,,,,,,,,,,
15,1,9:03.0,,Defensive rebound by M. Morris,7,7,,,,,,,,,,
16,1,8:52.0,,Turnover by M. Morris (bad pass),7,7,,,,,,,,,,
17,1,8:40.0,J. Butler misses 3-pt jump shot from 23 ft,,7,7,,,,,,,,,,
18,1,8:36.0,,Defensive rebound by M. Morris,7,7,,,,,,,,,,
19,1,8:18.0,,Shooting foul by C. Martin (drawn by M. Morris),7,7,,,,,,,,,,
20,1,8:18.0,,M. Morris makes free throw 1 of 3,7,8,,,,,,,,,,
21,1,8:18.0,,M. Morris makes free throw 2 of 3,7,9,,,,,,,,,,
22,1,8:18.0,,M. Morris makes free throw 3 of 3,7,10,,,,,,,,,,
23,1,8:04.0,Turnover by J. Butler (bad pass; steal by P. George),,7,10,,,,,,,,,,
24,1,8:02.0,,P. George makes 2-pt dunk from 1 ft,7,12,,,,,,,,,,
25,1,7:40.0,K. Lowry makes 3-pt jump shot from 25 ft (assist by C. Martin),,10,12,,,,,,,,,,
26,1,7:24.0,,I. Zubac makes 2-pt dunk from 1 ft (assist by P. George),10,14,,,,,,,,,,
27,1,7:11.0,B. Adebayo makes 2-pt jump shot from 6 ft (assist by J. Butler),,12,14,,,,,,,,,,
28,1,6:58.0,,Turnover by P. George (bad pass; steal by J. Butler),12,14,,,,,,,,,,
29,1,6:54.0,T. Herro makes 2-pt layup from 1 ft (assist by J. Butler),,14,14,,,,,,,,,,
30,1,6:45.0,,Turnover by T. Mann (bad pass; steal by T. Herro),14,14,,,,,,,,,,
31,1,6:38.0,T. Herro misses 3-pt jump shot from 26 ft,,14,14,,,,,,,,,,
32,1,6:35.0,,Defensive rebound by P. George,14,14,,,,,,,,,,
33,1,6:15.0,,M. Morris misses 2-pt jump shot from 16 ft (block by C. Martin),14,14,,,,,,,,,,
34,1,6:11.0,Defensive rebound by K. Lowry,,14,14,,,,,,,,,,
35,1,6:07.0,C. Martin makes 2-pt layup from 2 ft (assist by K. Lowry),,16,14,,,,,,,,,,
36,1,6:07.0,,LA Clippers full timeout,16,14,,,,,,,,,,
37,1,6:07.0,O. Robinson enters the game for B. Adebayo,,16,14,,,,,,,,,,
38,1,5:52.0,,R. Jackson misses 2-pt hook shot from 5 ft,16,14,,,,,,,,,,
39,1,5:50.0,Defensive rebound by T. Herro,,16,14,,,,,,,,,,
40,1,5:44.0,Personal foul by T. Mann (drawn by J. Butler),,16,14,,,,,,,,,,
41,1,5:44.0,V. Oladipo enters the game for C. Martin,,16,14,,,,,,,,,,
42,1,5:32.0,J. Butler makes 2-pt jump shot from 7 ft (assist by K. Lowry),,18,14,,,,,,,,,,
