game_id,date,home,away,season
0021900001,2019-10-22,NOP,TOR,20
0021900002,2019-10-22,LAL,LAC,20
0021900003,2019-10-23,CHI,CHA,20
0021900004,2019-10-23,DET,IND,20
0021900005,2019-10-23,CLE,ORL,20
0021900006,2019-10-23,MIN,BKN,20
0021900007,2019-10-23,MEM,MIA,20
0021900008,2019-10-23,BOS,PHI,20
0021900009,2019-10-23,WAS,DAL,20
0021900010,2019-10-23,NYK,SAS,20
0021900011,2019-10-23,OKC,UTA,20
0021900012,2019-10-23,SAC,PHX,20
0021900013,2019-10-23,DEN,POR,20
0021900014,2019-10-24,ATL,DET,20
0021900015,2019-10-24,MIL,HOU,20
0021900016,2019-10-24,LAC,GSW,20
0021900017,2019-10-25,TOR,BOS,20
0021900018,2019-10-25,MIN,CHA,20
0021900019,2019-10-25,NYK,BKN,20
0021900020,2019-10-25,CHI,MEM,20
0021900021,2019-10-25,DAL,NOP,20
0021900022,2019-10-25,WAS,OKC,20
0021900023,2019-10-25,PHX,DEN,20
0021900024,2019-10-25,POR,SAC,20
0021900025,2019-10-25,UTA,LAL,20
0021900026,2019-10-26,MIA,MIL,20
0021900027,2019-10-26,PHI,DET,20
0021900028,2019-10-26,ORL,ATL,20
0021900029,2019-10-26,BOS,NYK,20
0021900030,2019-10-26,IND,CLE,20
0021900031,2019-10-26,TOR,CHI,20
0021900032,2019-10-26,NOP,HOU,20
0021900033,2019-10-26,WAS,SAS,20
0021900034,2019-10-26,SAC,UTA,20
0021900035,2019-10-26,LAC,PHX,20
0021900036,2019-10-27,GSW,OKC,20
0021900037,2019-10-27,BKN,MEM,20
0021900038,2019-10-27,POR,DAL,20
0021900039,2019-10-27,MIA,MIN,20
0021900040,2019-10-27,CHA,LAL,20
0021900041,2019-10-28,IND,DET,20
0021900042,2019-10-28,CHI,NYK,20
0021900043,2019-10-28,PHI,ATL,20
0021900044,2019-10-28,ORL,TOR,20
0021900045,2019-10-28,OKC,HOU,20
0021900046,2019-10-28,CLE,MIL,20
0021900047,2019-10-28,GSW,NOP,20
0021900048,2019-10-28,POR,SAS,20
0021900049,2019-10-28,UTA,PHX,20
0021900050,2019-10-28,DEN,SAC,20
0021900051,2019-10-28,CHA,LAC,20
0021900052,2019-10-29,ATL,MIA,20
0021900053,2019-10-29,DAL,DEN,20
0021900054,2019-10-29,MEM,LAL,20
0021900055,2019-10-30,CHI,CLE,20
0021900056,2019-10-30,NYK,ORL,20
0021900057,2019-10-30,MIN,PHI,20
