,game_id,eventnum,eventmsgtype,eventmsgactiontype,period,pctimestring,homedescription,neutraldescription,visitordescription,score,scoremargin,player1_id,player1_name,player1_team_abbreviation,player2_id,player2_name,player2_team_abbreviation,player3_id,player3_name,player3_team_abbreviation,timeinseconds,play_elapsed_time,total_elapsed_time,max_time,time_remaining,h_lineup,a_lineup
0,0022200205,2,12,0,1,12:00,,Start of 1st Period (10:11 PM EST),,,0,0,,,0,,,0,,,720,0.0,0.0,2880.0,2880.0,"(201939, 203110, 203952, 1626172, 1629673)","(1627751, 1628966, 1629640, 1630170, 1631110)"
1,0022200205,4,10,0,1,12:00,Jump Ball Looney vs. Poeltl: Tip to Bates-Diop,,,,0,1626172,Kevon Looney,GSW,1627751,Jakob Poeltl,SAS,1628966,Keita Bates-Diop,SAS,720,0.0,0.0,2880.0,2880.0,"(201939, 203110, 203952, 1626172, 1629673)","(1627751, 1628966, 1629640, 1630170, 1631110)"
2,0022200205,7,1,80,1,11:46,,,Vassell 17' Step Back Jump Shot (2 PTS),2 - 0,-2,1630170,Devin Vassell,SAS,0,,,0,,,706,14.0,14.0,2880.0,2866.0,"(201939, 203110, 203952, 1626172, 1629673)","(1627751, 1628966, 1629640, 1630170, 1631110)"
3,0022200205,8,1,1,1,11:26,Curry 3PT Jump Shot (3 PTS) (D. Green 1 AST),,,2 - 3,1,201939,Stephen Curry,GSW,203110,Draymond Green,GSW,0,,,686,20.0,34.0,2880.0,2846.0,"(201939, 203110, 203952, 1626172, 1629673)","(1627751, 1628966, 1629640, 1630170, 1631110)"
4,0022200205,10,6,4,1,11:17,,,Sochan OFF.Foul (P1) (J.Goble),,0,1631110,Jeremy Sochan,SAS,203952,Andrew Wiggins,GSW,0,,,677,9.0,43.0,2880.0,2837.0,"(201939, 203110, 203952, 1626172, 1629673)","(1627751, 1628966, 1629640, 1630170, 1631110)"
5,0022200205,12,5,37,1,11:17,,,Sochan Offensive Foul Turnover (P1.T1),,0,1631110,Jeremy Sochan,SAS,0,,,0,,,677,0.0,43.0,2880.0,2837.0,"(201939, 203110, 203952, 1626172, 1629673)","(1627751, 1628966, 1629640, 1630170, 1631110)"
6,0022200205,13,2,1,1,10:58,MISS Curry 29' 3PT Jump Shot,,,,0,201939,Stephen Curry,GSW,0,,,0,,,658,19.0,62.0,2880.0,2818.0,"(201939, 203110, 203952, 1626172, 1629673)","(1627751, 1628966, 1629640, 1630170, 1631110)"
7,0022200205,14,4,0,1,10:54,,,Bates-Diop REBOUND (Off:0 Def:1),,0,1628966,Keita Bates-Diop,SAS,0,,,0,,,654,4.0,66.0,2880.0,2814.0,"(201939, 203110, 203952, 1626172, 1629673)","(1627751, 1628966, 1629640, 1630170, 1631110)"
8,0022200205,15,5,45,1,10:45,,,Johnson Out of Bounds - Bad Pass Turnover Turnover (P1.T2),,0,1629640,Keldon Johnson,SAS,0,,,0,,,645,9.0,75.0,2880.0,2805.0,"(201939, 203110, 203952, 1626172, 1629673)","(1627751, 1628966, 1629640, 1630170, 1631110)"
9,0022200205,16,1,75,1,10:38,Poole 2' Driving Finger Roll Layup (2 PTS) (Looney 1 AST),,,2 - 5,3,1629673,Jordan Poole,GSW,1626172,Kevon Looney,GSW,0,,,638,7.0,82.0,2880.0,2798.0,"(201939, 203110, 203952, 1626172, 1629673)","(1627751, 1628966, 1629640, 1630170, 1631110)"
