Player,G,Date,Series,Tm,H/A,Opp,G#,W/L,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Pos,KM
Devin Booker,1,2021-05-23,WC1,PHX,1,LAL,1,9,1,45.18333333333333,13,26,.500,3,7,.429,5,6,.833,1,6,7,8,1,0,6,4,34,22.1,+9,SG,15
Devin Booker,2,2021-05-25,WC1,PHX,1,LAL,2,-7,1,40.11666666666667,7,17,.412,0,3,.000,17,17,1.000,0,1,1,3,0,0,4,3,31,19.1,-16,SG,15
Devin Booker,3,2021-05-27,WC1,PHX,0,LAL,3,-14,1,41.35,6,19,.316,1,4,.250,6,7,.857,1,3,4,6,0,0,4,6,19,7.1,-7,SG,15
Devin Booker,4,2021-05-30,WC1,PHX,0,LAL,4,8,1,39.3,5,14,.357,1,5,.200,6,7,.857,2,5,7,5,1,0,5,3,17,10.0,+12,SG,15
Devin Booker,5,2021-06-01,WC1,PHX,1,LAL,5,30,1,33.15,13,23,.565,2,6,.333,2,2,1.000,0,7,7,5,1,0,1,3,30,23.5,+22,SG,15
Devin Booker,6,2021-06-03,WC1,PHX,0,LAL,6,13,1,45.983333333333334,15,22,.682,8,10,.800,9,9,1.000,0,11,11,3,0,1,3,2,47,39.9,+10,SG,15
Devin Booker,7,2021-06-07,WCS,PHX,1,DEN,1,17,1,38.36666666666667,8,12,.667,1,4,.250,4,6,.667,0,4,4,8,1,0,5,3,21,16.6,+12,SG,15
Devin Booker,8,2021-06-09,WCS,PHX,1,DEN,2,25,1,33.06666666666667,6,14,.429,3,7,.429,3,3,1.000,0,10,10,2,1,0,2,1,18,13.6,+16,SG,15
Devin Booker,9,2021-06-11,WCS,PHX,0,DEN,3,14,1,40.45,11,23,.478,2,7,.286,4,4,1.000,1,5,6,4,1,0,4,3,28,17.1,+19,SG,15
Devin Booker,10,2021-06-13,WCS,PHX,0,DEN,4,7,1,41.88333333333333,11,25,.440,2,8,.250,10,11,.909,2,9,11,4,1,0,3,3,34,24.2,+10,SG,15
Devin Booker,11,2021-06-20,WCF,PHX,1,LAC,1,6,1,43.93333333333333,15,29,.517,3,7,.429,7,7,1.000,1,12,13,11,0,0,2,3,40,34.5,+6,SG,15
Devin Booker,12,2021-06-22,WCF,PHX,1,LAC,2,1,1,40.86666666666667,5,16,.313,1,3,.333,9,9,1.000,0,4,4,5,0,0,8,5,20,5.5,+4,SG,15
Devin Booker,13,2021-06-24,WCF,PHX,0,LAC,3,-14,1,40.083333333333336,5,21,.238,1,7,.143,4,4,1.000,1,4,5,5,1,0,4,4,15,3.1,-15,SG,15
Devin Booker,14,2021-06-26,WCF,PHX,0,LAC,4,4,1,38.28333333333333,8,22,.364,0,5,.000,9,11,.818,0,2,2,0,2,0,5,6,25,7.2,+5,SG,15
Devin Booker,15,2021-06-28,WCF,PHX,1,LAC,5,-14,1,43.06666666666667,9,22,.409,4,6,.667,9,11,.818,0,4,4,3,2,0,3,2,31,19.9,-10,SG,15
Devin Booker,16,2021-06-30,WCF,PHX,0,LAC,6,27,1,42.06666666666667,10,26,.385,1,7,.143,1,1,1.000,0,7,7,4,1,1,3,2,22,10.6,+23,SG,15
Devin Booker,17,2021-07-06,FIN,PHX,1,MIL,1,13,1,41.88333333333333,8,21,.381,1,8,.125,10,10,1.000,0,2,2,6,3,0,3,3,27,19.1,+18,SG,15
Devin Booker,18,2021-07-08,FIN,PHX,1,MIL,2,10,1,44.083333333333336,12,25,.480,7,12,.583,0,0,,2,3,5,6,0,0,3,4,31,20.2,+10,SG,15
Devin Booker,19,2021-07-11,FIN,PHX,0,MIL,3,-20,1,29.116666666666667,3,14,.214,1,7,.143,3,5,.600,2,4,6,2,0,0,1,2,10,2.8,-13,SG,15
Devin Booker,20,2021-07-14,FIN,PHX,0,MIL,4,-6,1,38.5,17,28,.607,0,3,.000,8,9,.889,1,0,1,2,0,1,4,5,42,25.6,0,SG,15
Devin Booker,21,2021-07-17,FIN,PHX,1,MIL,5,-4,1,41.53333333333333,17,33,.515,2,4,.500,4,5,.800,1,3,4,3,2,1,2,5,40,25.7,+12,SG,15
Devin Booker,22,2021-07-20,FIN,PHX,0,MIL,6,-7,1,46.25,8,22,.364,0,7,.000,3,3,1.000,0,3,3,5,0,0,6,4,19,3.6,-15,SG,15
Devin Booker,1,2022-04-17,WC1,PHX,1,NOP,1,11,1,40.61666666666667,8,19,.421,4,8,.500,5,6,.833,0,4,4,8,1,0,1,2,25,20.5,+7,SG,15
Devin Booker,2,2022-04-19,WC1,PHX,1,NOP,2,-11,1,24.783333333333335,12,19,.632,7,11,.636,0,0,,1,1,2,1,0,0,2,3,31,21.0,-6,SG,15
Devin Booker,3,2022-04-28,WC1,PHX,0,NOP,6,6,1,32.233333333333334,5,12,.417,1,6,.167,2,2,1.000,0,5,5,3,0,0,2,0,13,8.2,+9,SG,15
Devin Booker,4,2022-05-02,WCS,PHX,1,DAL,1,7,1,38.21666666666667,7,20,.350,1,5,.200,8,8,1.000,3,6,9,8,0,1,1,1,23,20.6,+6,SG,15
Devin Booker,5,2022-05-04,WCS,PHX,1,DAL,2,20,1,35.53333333333333,11,19,.579,5,8,.625,3,3,1.000,1,3,4,4,0,1,2,4,30,22.6,+21,SG,15
Devin Booker,6,2022-05-06,WCS,PHX,0,DAL,3,-9,1,40.03333333333333,6,13,.462,4,6,.667,2,4,.500,0,2,2,6,0,0,5,1,18,9.9,-12,SG,15
Devin Booker,7,2022-05-08,WCS,PHX,0,DAL,4,-10,1,43.31666666666667,10,22,.455,3,6,.500,12,13,.923,1,3,4,7,0,1,5,4,35,23.8,-12,SG,15
Devin Booker,8,2022-05-10,WCS,PHX,1,DAL,5,30,1,35.2,11,20,.550,3,7,.429,3,4,.750,1,6,7,2,2,0,2,3,28,20.7,+25,SG,15
Devin Booker,9,2022-05-12,WCS,PHX,0,DAL,6,-27,1,39.0,6,17,.353,0,4,.000,7,7,1.000,2,6,8,3,1,1,8,4,19,6.9,-19,SG,15
Devin Booker,10,2022-05-15,WCS,PHX,1,DAL,7,-33,1,36.983333333333334,3,14,.214,0,4,.000,5,6,.833,1,2,3,2,1,0,4,3,11,0.5,-41,SG,15
Devin Booker,1,2023-04-16,WC1,PHX,1,LAC,1,-5,1,43.333333333333336,10,19,.526,0,3,.000,6,8,.750,1,0,1,3,4,3,5,3,26,18.6,-6,SG,15
Devin Booker,2,2023-04-18,WC1,PHX,1,LAC,2,14,1,44.8,14,22,.636,4,7,.571,6,6,1.000,0,1,1,9,1,0,3,4,38,31.2,+15,SG,15
Devin Booker,3,2023-04-20,WC1,PHX,0,LAC,3,5,1,44.516666666666666,18,29,.621,3,7,.429,6,7,.857,1,5,6,3,3,2,0,2,45,39.4,+3,SG,15
Devin Booker,4,2023-04-22,WC1,PHX,0,LAC,4,12,1,41.45,10,21,.476,3,6,.500,7,8,.875,3,6,9,7,3,0,4,1,30,26.3,+5,SG,15
Devin Booker,5,2023-04-25,WC1,PHX,1,LAC,5,6,1,41.65,19,27,.704,4,7,.571,5,6,.833,2,6,8,10,2,0,3,4,47,42.9,+11,SG,15
Anthony Edwards,1,2022-04-16,WC1,MIN,0,MEM,1,13,1,40.266666666666666,12,23,.522,4,11,.364,8,8,1.000,0,2,2,6,1,2,2,5,36,27.9,+12,SG,15
Anthony Edwards,2,2022-04-19,WC1,MIN,0,MEM,2,-28,1,33.88333333333333,7,16,.438,4,10,.400,2,2,1.000,1,5,6,1,1,0,5,4,20,8.9,-16,SG,15
Anthony Edwards,3,2022-04-21,WC1,MIN,1,MEM,3,-9,1,40.016666666666666,6,13,.462,4,9,.444,3,6,.500,0,7,7,2,1,0,2,3,19,12.4,-9,SG,15
Anthony Edwards,4,2022-04-23,WC1,MIN,1,MEM,4,1,1,37.083333333333336,7,14,.500,4,8,.500,6,6,1.000,1,3,4,4,2,3,3,2,24,21.7,-2,SG,15
Anthony Edwards,5,2022-04-26,WC1,MIN,0,MEM,5,-2,1,34.833333333333336,8,20,.400,3,9,.333,3,4,.750,1,0,1,0,0,0,1,5,22,8.5,-2,SG,15
Anthony Edwards,6,2022-04-29,WC1,MIN,1,MEM,6,-8,1,40.9,10,24,.417,4,10,.400,6,8,.750,1,4,5,5,2,2,2,3,30,22.0,-5,SG,15
Anthony Edwards,1,2023-04-16,WC1,MIN,0,DEN,1,-29,1,27.683333333333334,6,15,.400,1,4,.250,5,6,.833,0,2,2,5,2,1,1,4,18,13.7,-12,SG,15
Anthony Edwards,2,2023-04-19,WC1,MIN,0,DEN,2,-9,1,41.71666666666667,14,23,.609,6,10,.600,7,8,.875,1,1,2,4,2,3,1,4,41,35.4,-3,SG,15
Anthony Edwards,3,2023-04-21,WC1,MIN,1,DEN,3,-9,1,43.95,10,22,.455,3,11,.273,13,15,.867,0,7,7,5,3,1,3,1,36,29.7,-7,SG,15
Anthony Edwards,4,2023-04-23,WC1,MIN,1,DEN,4,6,1,45.36666666666667,12,27,.444,5,12,.417,5,6,.833,1,5,6,5,2,3,2,1,34,26.9,+7,SG,15
Anthony Edwards,5,2023-04-25,WC1,MIN,0,DEN,5,-3,1,39.916666666666664,13,27,.481,0,6,.000,3,4,.750,1,7,8,7,0,2,1,3,29,21.8,0,SG,15
Jimmy Butler,1,2012-05-04,EC1,CHI,0,PHI,3,-5,0,3.45,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-4,SF,15
Jimmy Butler,2,2012-05-06,EC1,CHI,0,PHI,4,-7,0,0.18333333333333332,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3,SF,15
Jimmy Butler,3,2012-05-10,EC1,CHI,0,PHI,6,-1,0,0.43333333333333335,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,SF,15
Jimmy Butler,1,2013-04-20,EC1,CHI,0,BKN,1,-17,1,39.31666666666667,5,8,.625,0,0,,3,3,1.000,0,3,3,2,0,1,0,1,13,12.0,-18,SF,15
Jimmy Butler,2,2013-04-22,EC1,CHI,0,BKN,2,8,1,29.616666666666667,1,4,.250,0,2,.000,3,5,.600,0,4,4,2,0,2,2,2,5,3.0,+6,SF,15
Jimmy Butler,3,2013-04-25,EC1,CHI,1,BKN,3,3,1,32.016666666666666,1,5,.200,1,3,.333,1,2,.500,1,3,4,1,1,0,0,3,4,2.6,+2,SF,15
Jimmy Butler,4,2013-04-27,EC1,CHI,1,BKN,4,8,1,40.21666666666667,6,8,.750,1,2,.500,3,5,.600,0,5,5,3,1,1,1,0,16,16.3,-15,SF,15
Jimmy Butler,5,2013-04-29,EC1,CHI,0,BKN,5,-19,1,31.666666666666668,5,9,.556,3,4,.750,5,8,.625,1,1,2,3,4,0,0,1,18,19.2,-17,SF,15
Jimmy Butler,6,2013-05-02,EC1,CHI,1,BKN,6,-3,1,48.0,4,13,.308,1,3,.333,8,9,.889,2,5,7,6,1,1,1,3,17,15.7,-3,SF,15
Jimmy Butler,7,2013-05-04,EC1,CHI,0,BKN,7,6,1,48.0,3,10,.300,1,4,.250,2,2,1.000,1,4,5,4,0,0,1,1,9,6.5,+6,SF,15
Jimmy Butler,8,2013-05-06,ECS,CHI,0,MIA,1,7,1,48.0,5,13,.385,2,4,.500,9,10,.900,2,12,14,3,0,1,2,3,21,18.1,+7,SF,15
Jimmy Butler,9,2013-05-08,ECS,CHI,0,MIA,2,-37,1,31.316666666666666,3,8,.375,2,4,.500,1,1,1.000,0,3,3,1,1,0,2,3,9,4.0,-25,SF,15
Jimmy Butler,10,2013-05-10,ECS,CHI,1,MIA,3,-10,1,48.0,6,12,.500,2,3,.667,3,3,1.000,0,5,5,3,3,0,2,5,17,13.6,-10,SF,15
