Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS▼,Player-additional
1,Jayson Tatum,PF,24,BOS,68,68,2544,665,1449,.459,220,639,.344,445,810,.549,.535,494,579,.853,74,531,605,321,70,50,199,144,2044,tatumja01
2,Joel Embiid,C,28,PHI,58,58,2030,647,1186,.546,61,174,.351,586,1012,.579,.571,591,691,.855,105,490,595,238,62,102,201,186,1946,embiijo01
3,Shai Gilgeous-Alexander,PG,24,OKC,61,61,2171,636,1247,.510,53,152,.349,583,1095,.532,.531,590,653,.904,54,240,294,334,102,60,177,167,1915,gilgesh01
4,Luka Dončić,PG,23,DAL,57,57,2068,629,1257,.500,158,453,.349,471,804,.586,.563,463,629,.736,48,443,491,458,83,28,209,148,1879,doncilu01
5,Julius Randle,PF,28,NYK,73,73,2623,633,1372,.461,212,612,.346,421,760,.554,.539,391,515,.759,139,604,743,299,47,19,208,223,1869,randlju01
6,Damian Lillard,PG,32,POR,57,57,2073,548,1183,.463,242,648,.373,306,535,.572,.566,498,544,.915,43,227,270,413,50,18,189,108,1836,lillada01
7,Anthony Edwards,SG,21,MIN,71,71,2558,636,1380,.461,193,520,.371,443,860,.515,.531,290,378,.767,39,378,417,315,114,51,237,172,1755,edwaran01
8,Giannis Antetokounmpo,PF,28,MIL,56,56,1820,623,1142,.546,45,156,.288,578,986,.586,.565,459,707,.649,126,538,664,312,41,45,219,179,1750,antetgi01
9,Trae Young,PG,24,ATL,65,65,2262,552,1274,.433,144,427,.337,408,847,.482,.490,493,556,.887,54,147,201,654,72,9,264,98,1741,youngtr01
10,Donovan Mitchell,SG,26,CLE,62,62,2202,600,1258,.477,219,578,.379,381,680,.560,.564,281,322,.873,58,200,258,284,93,23,164,149,1700,mitchdo01
11,Zach LaVine,SG,27,CHI,67,67,2439,584,1216,.480,187,490,.382,397,726,.547,.557,323,380,.850,38,277,315,275,63,16,171,143,1678,lavinza01
12,DeMar DeRozan,SF,33,CHI,65,65,2389,597,1167,.512,39,115,.339,558,1052,.530,.528,420,483,.870,31,277,308,330,72,33,140,172,1653,derozde01
13,De'Aaron Fox,PG,25,SAC,65,65,2207,614,1189,.516,110,322,.342,504,867,.581,.563,310,403,.769,33,241,274,398,77,20,168,160,1648,foxde01
14,Jaylen Brown,SF,26,BOS,61,61,2204,612,1244,.492,154,448,.344,458,796,.575,.554,253,327,.774,74,344,418,207,71,26,177,163,1631,brownja02
15,Lauri Markkanen,SF,25,UTA,63,63,2169,543,1079,.503,193,481,.401,350,598,.585,.593,324,372,.871,124,416,540,116,40,38,120,131,1603,markkla01
16,Nikola Jokić,C,27,DEN,64,64,2172,607,957,.634,54,137,.394,553,820,.674,.662,315,385,.818,156,606,762,634,79,42,227,165,1583,jokicni01
17,Jalen Brunson,PG,26,NYK,64,64,2234,543,1116,.487,123,298,.413,420,818,.513,.542,312,373,.836,37,189,226,395,57,15,127,144,1521,brunsja01
18,Pascal Siakam,C,28,TOR,62,62,2324,543,1153,.471,86,255,.337,457,898,.509,.508,321,420,.764,115,367,482,368,53,32,154,202,1493,siakapa01
19,Jordan Poole,PG,23,GSW,73,42,2225,488,1147,.425,188,569,.330,300,578,.519,.507,311,356,.874,30,169,199,336,58,18,235,191,1475,poolejo01
20,Kyrie Irving,PG,30,TOT,53,53,1966,530,1077,.492,173,453,.382,357,624,.572,.572,220,244,.902,52,218,270,290,55,39,119,150,1453,irvinky01
21,Jalen Green,SG,20,HOU,66,66,2251,488,1186,.411,166,494,.336,322,692,.465,.481,305,386,.790,38,219,257,234,51,18,183,118,1447,greenja05
22,Ja Morant,PG,23,MEM,53,53,1721,507,1094,.463,85,269,.316,422,825,.512,.502,337,453,.744,60,257,317,434,59,13,180,88,1436,moranja01
23,Bam Adebayo,C,25,MIA,68,68,2389,563,1037,.543,1,12,.083,562,1025,.548,.543,305,380,.803,165,471,636,223,81,59,176,195,1432,adebaba01
24,Stephen Curry,PG,34,GSW,47,47,1633,471,946,.498,234,541,.433,237,405,.585,.622,225,246,.915,33,259,292,291,45,17,157,104,1401,curryst01
25,Kristaps Porziņģis,C,27,WAS,61,61,2002,466,952,.489,127,338,.376,339,614,.552,.556,340,401,.848,110,405,515,159,55,96,132,190,1399,porzikr01
26,Mikal Bridges,SF,26,TOT,73,73,2627,503,1067,.471,144,367,.392,359,700,.513,.539,247,276,.895,71,248,319,243,80,57,108,144,1397,bridgmi01
27,LeBron James,PF,38,LAL,47,47,1695,532,1061,.501,100,325,.308,432,736,.587,.549,224,295,.759,57,339,396,326,44,26,147,79,1388,jamesle01
28,Darius Garland,PG,23,CLE,63,63,2214,480,1020,.471,160,385,.416,320,635,.504,.549,257,301,.854,26,144,170,492,80,7,184,133,1377,garlada01
