,Player,KM
238,Joel Embiid,7
320,Luka Doncic,7
88,Damian Lillard,7
160,Giannis Antetokounmpo,7
433,Shai Gilgeous-Alexander,7
225,Jayson Tatum,7
438,Stephen Curry,7
315,LeBron James,7
293,Kevin Durant,7
122,Devin Booker,3
130,Donovan Mitchell,3
309,Kyrie Irving,3
187,Ja Morant,3
462,Trae Young,3
222,Jaylen Brown,3
22,Anthony Davis,10
502,Zion Williamson,3
104,De'Aaron Fox,3
314,Lauri Markkanen,10
267,Julius Randle,10
108,DeMar DeRozan,3
23,Anthony Edwards,3
499,Zach LaVine,3
374,Nikola Jokic,10
391,Pascal Siakam,3
276,Kawhi Leonard,3
200,Jalen Brunson,3
397,Paul George,3
41,Bradley Beal,3
310,LaMelo Ball,3
44,Brandon Ingram,3
305,Kristaps Porzingis,10
233,Jimmy Butler,3
304,Klay Thompson,2
211,James Harden,3
97,Darius Garland,2
279,Keldon Johnson,2
202,Jalen Green,2
38,Bojan Bogdanovic,2
451,Terry Rozier,2
307,Kyle Kuzma,10
21,Anfernee Simons,2
53,CJ McCollum,2
121,Desmond Bane,2
29,Bam Adebayo,10
247,Jordan Clarkson,2
275,Karl-Anthony Towns,10
477,Tyrese Haliburton,2
111,Dejounte Murray,2
281,Kelly Oubre Jr.,2
252,Jordan Poole,2
228,Jerami Grant,2
476,Tyler Herro,2
390,Paolo Banchero,2
209,Jamal Murray,2
54,Cade Cunningham,2
479,Tyrese Maxey,2
404,RJ Barrett,2
263,Jrue Holiday,2
150,Fred VanVleet,2
351,Mikal Bridges,2
128,Domantas Sabonis,10
149,Franz Wagner,2
297,Kevin Porter Jr.,2
123,Devin Vassell,2
110,Deandre Ayton,6
83,D'Angelo Russell,2
363,Myles Turner,6
436,Spencer Dinwiddie,2
376,Nikola Vucevic,6
157,Gary Trent Jr.,8
73,Christian Wood,6
52,Buddy Hield,8
350,Michael Porter Jr.,8
20,Andrew Wiggins,8
215,Jaren Jackson Jr.,8
3,Aaron Gordon,8
379,OG Anunoby,8
378,Norman Powell,8
31,Bennedict Mathurin,8
256,Josh Giddey,6
145,Evan Mobley,6
428,Scottie Barnes,6
105,De'Andre Hunter,8
420,Russell Westbrook,0
46,Brook Lopez,8
194,Jaden Ivey,8
490,Wendell Carter Jr.,6
388,P.J. Washington,8
59,Cameron Johnson,8
169,Harrison Barnes,8
294,Kevin Huerter,8
15,Alperen Sengun,6
326,Malcolm Brogdon,8
459,Tobias Harris,8
301,Khris Middleton,0
163,Gordon Hayward,8
217,Jarrett Allen,6
80,Collin Sexton,8
127,Dillon Brooks,8
458,Tim Hardaway Jr.,8
424,Saddiq Bey,8
37,Bogdan Bogdanovic,8
244,Jonas Valanciunas,6
319,Luguentz Dort,8
335,Markelle Fultz,0
36,Bobby Portis,6
418,Rudy Gobert,6
172,Immanuel Quickley,8
329,Malik Monk,0
207,Jalen Williams,8
69,Chris Paul,0
471,Trey Murphy III,8
328,Malik Beasley,8
272,Jusuf Nurkic,6
9,Alec Burks,0
199,Jakob Poeltl,6
114,Dennis Schroder,0
240,John Collins,11
142,Eric Gordon,0
463,Tre Jones,0
190,Jabari Smith Jr.,11
370,Nic Claxton,6
78,Cole Anthony,0
289,Kenyon Martin Jr.,11
318,Lonnie Walker IV,5
120,Derrick White,0
280,Kelly Olynyk,11
75,Clint Capela,13
61,Caris LeVert,0
308,Kyle Lowry,0
419,Rui Hachimura,11
344,Max Strus,5
195,Jaden McDaniels,11
277,Keegan Murray,11
40,Bones Hyland,5
332,Marcus Morris,11
26,Austin Reaves,5
242,John Wall,0
180,Isaiah Stewart,13
338,Marvin Bagley III,11
333,Marcus Smart,0
60,Cameron Payne,0
288,Kentavious Caldwell-Pope,5
230,Jeremy Sochan,11
261,Josh Richardson,5
47,Bruce Brown,5
359,Moritz Wagner,11
223,Jaylen Nowell,5
498,Zach Collins,11
352,Mike Conley,0
166,Grayson Allen,5
367,Naz Reid,11
58,Cam Thomas,5
184,Ivica Zubac,13
485,Victor Oladipo,5
357,Monte Morris,0
457,Thomas Bryant,11
