Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS▼,Player-additional
1,Devin Booker,SG,26,PHO,5,5,216,71,118,.602,14,30,.467,57,88,.648,.661,30,35,.857,7,18,25,32,13,5,15,14,186,bookede01
2,Anthony Edwards,SG,21,MIN,5,5,199,55,114,.482,15,43,.349,40,71,.563,.548,33,39,.846,3,22,25,26,9,10,8,13,158,edwaran01
3,Jimmy Butler,SF,33,MIA,4,4,140,54,86,.628,9,17,.529,45,69,.652,.680,29,39,.744,8,14,22,20,7,1,7,6,146,butleji01
4,Trae Young,PG,24,ATL,5,5,190,51,121,.421,14,42,.333,37,79,.468,.479,29,35,.829,5,14,19,51,9,2,19,8,145,youngtr01
5,Kevin Durant,SF,34,PHO,5,5,219,44,85,.518,11,24,.458,33,61,.541,.582,43,45,.956,3,35,38,31,5,5,16,12,142,duranke01
6,Jamal Murray,PG,25,DEN,5,5,192,49,104,.471,18,42,.429,31,62,.500,.558,20,22,.909,2,26,28,32,5,2,13,12,136,murraja01
7,Jayson Tatum,PF,24,BOS,5,5,197,47,108,.435,17,50,.340,30,58,.517,.514,22,25,.880,3,43,46,25,3,5,15,8,133,tatumja01
8,Nikola Jokić,C,27,DEN,5,5,185,48,99,.485,11,22,.500,37,77,.481,.540,24,34,.706,21,41,62,45,6,2,14,21,131,jokicni01
9,Jaylen Brown,SF,26,BOS,5,5,187,53,97,.546,11,25,.440,42,72,.583,.603,11,19,.579,7,20,27,16,7,2,19,15,128,brownja02
10,Stephen Curry,PG,34,GSW,4,4,158,43,88,.489,20,50,.400,23,38,.605,.602,20,21,.952,2,18,20,15,3,2,12,12,126,curryst01
11,De'Aaron Fox,PG,25,SAC,4,4,154,46,103,.447,13,38,.342,33,65,.508,.510,21,30,.700,7,17,24,28,10,1,12,13,126,foxde01
12,Russell Westbrook,PG,34,LAC,5,5,192,43,105,.410,10,28,.357,33,77,.429,.457,22,25,.880,9,29,38,37,6,7,20,15,118,westbru01
13,Norman Powell,SG,29,LAC,5,3,167,36,76,.474,13,32,.406,23,44,.523,.559,24,31,.774,4,11,15,11,4,2,8,16,109,powelno01
14,Dejounte Murray,SG,26,ATL,4,4,153,41,90,.456,13,33,.394,28,57,.491,.528,6,6,1.000,8,21,29,23,9,1,9,6,101,murrade01
15,Jalen Brunson,PG,26,NYK,4,4,147,37,81,.457,7,25,.280,30,56,.536,.500,16,17,.941,4,13,17,20,9,1,10,7,97,brunsja01
16,Derrick White,SG,28,BOS,5,5,165,36,61,.590,15,30,.500,21,31,.677,.713,10,11,.909,1,20,21,19,2,7,7,11,97,whitede01
17,LeBron James,PF,38,LAL,4,4,154,38,77,.494,5,27,.185,33,50,.660,.526,15,22,.682,11,41,52,20,4,7,10,8,96,jamesle01
18,Mikal Bridges,SF,26,BRK,4,4,157,33,77,.429,10,25,.400,23,52,.442,.494,18,23,.783,2,19,21,16,2,2,8,5,94,bridgmi01
19,Desmond Bane,SG,24,MEM,4,4,151,32,79,.405,10,35,.286,22,44,.500,.468,19,19,1.000,4,17,21,12,2,0,13,16,93,banede01
20,Karl-Anthony Towns,PF,27,MIN,5,5,180,32,70,.457,6,24,.250,26,46,.565,.500,21,28,.750,6,45,51,10,3,4,18,21,91,townska01
21,Donovan Mitchell,SG,26,CLE,4,4,162,34,78,.436,10,33,.303,24,45,.533,.500,10,15,.667,3,15,18,31,8,2,16,12,88,mitchdo01
22,Tyrese Maxey,SG,22,PHI,4,4,148,32,68,.471,15,30,.500,17,38,.447,.581,8,10,.800,3,17,20,7,6,1,4,11,87,maxeyty01
23,Khris Middleton,SF,31,MIL,4,4,132,30,62,.484,9,22,.409,21,40,.525,.556,17,21,.810,6,20,26,25,3,0,14,10,86,middlkh01
24,Darius Garland,PG,23,CLE,4,4,148,28,67,.418,11,25,.440,17,42,.405,.500,15,19,.789,0,7,7,21,8,1,12,11,82,garlada01
25,Ja Morant,PG,23,MEM,3,3,116,29,64,.453,9,19,.474,20,45,.444,.523,15,18,.833,6,13,19,22,5,1,13,8,82,moranja01
26,Michael Porter Jr.,SF,24,DEN,5,5,180,31,63,.492,14,33,.424,17,30,.567,.603,6,9,.667,3,38,41,6,5,3,0,13,82,portemi01
27,Tobias Harris,PF,30,PHI,4,4,135,34,60,.567,8,14,.571,26,46,.565,.633,5,5,1.000,9,26,35,8,2,2,2,8,81,harrito02
28,Klay Thompson,SG,32,GSW,4,4,148,29,62,.468,17,43,.395,12,19,.632,.605,6,6,1.000,0,18,18,13,4,1,7,5,81,thompkl01
29,Deandre Ayton,C,24,PHO,5,5,172,35,66,.530,0,0,,35,66,.530,.530,10,18,.556,14,42,56,4,3,3,9,15,80,aytonde01
30,De'Andre Hunter,SF,25,ATL,5,5,186,32,68,.471,10,30,.333,22,38,.579,.544,6,8,.750,6,22,28,6,3,1,8,16,80,huntede01
31,Anthony Davis,C,29,LAL,4,4,155,29,68,.426,2,6,.333,27,62,.435,.441,18,22,.818,13,36,49,10,7,19,12,10,78,davisan02
32,Marcus Smart,PG,28,BOS,5,5,153,31,63,.492,13,34,.382,18,29,.621,.595,3,6,.500,7,15,22,27,9,2,8,10,78,smartma01
33,Brook Lopez,C,34,MIL,4,4,138,32,56,.571,4,12,.333,28,44,.636,.607,9,10,.900,11,11,22,5,6,8,9,7,77,lopezbr01
34,Andrew Wiggins,SF,27,GSW,4,3,139,31,63,.492,7,24,.292,24,39,.615,.548,8,12,.667,6,17,23,7,3,9,7,14,77,wiggian01
35,Jaren Jackson Jr.,C,23,MEM,4,4,151,27,60,.450,4,14,.286,23,46,.500,.483,18,22,.818,13,20,33,8,4,10,13,14,76,jacksja02
36,Rudy Gobert,C,30,MIN,5,5,177,29,46,.630,0,0,,29,46,.630,.630,17,27,.630,18,43,61,10,2,5,8,24,75,goberru01
37,Cameron Johnson,PF,26,BRK,4,4,152,28,55,.509,12,28,.429,16,27,.593,.618,6,7,.857,3,20,23,11,3,1,5,10,74,johnsca02
38,Jrue Holiday,PG,32,MIL,4,4,144,30,74,.405,10,36,.278,20,38,.526,.473,3,5,.600,4,20,24,34,4,2,10,11,73,holidjr01
39,Rui Hachimura,PF,24,LAL,4,0,110,26,45,.578,10,16,.625,16,29,.552,.689,10,12,.833,2,20,22,4,2,0,3,4,72,hachiru01
40,Austin Reaves,SG,24,LAL,4,4,145,25,51,.490,7,17,.412,18,34,.529,.559,14,18,.778,6,12,18,16,3,1,5,9,71,reaveau01
41,Malik Monk,SG,24,SAC,4,0,113,20,51,.392,7,20,.350,13,31,.419,.461,23,24,.958,3,14,17,14,2,1,6,7,70,monkma01
42,James Harden,PG,33,PHI,4,4,144,23,67,.343,14,33,.424,9,34,.265,.448,9,11,.818,2,20,22,35,6,1,14,10,69,hardeja01
43,Kawhi Leonard,SF,31,LAC,2,2,80,24,44,.545,6,10,.600,18,34,.529,.614,15,17,.882,3,10,13,12,4,1,6,5,69,leonaka01
44,Bogdan Bogdanović,SG,30,ATL,5,1,137,25,46,.543,14,29,.483,11,17,.647,.696,4,4,1.000,2,16,18,14,6,5,3,15,68,bogdabo01
45,Chris Paul,PG,37,PHO,5,5,193,29,70,.414,8,23,.348,21,47,.447,.471,2,4,.500,4,26,30,41,11,5,6,13,68,paulch01
46,Bam Adebayo,C,25,MIA,4,4,118,29,60,.483,0,0,,29,60,.483,.483,9,11,.818,6,27,33,15,6,2,14,12,67,adebaba01
47,Aaron Gordon,PF,27,DEN,5,5,163,23,46,.500,4,12,.333,19,34,.559,.543,17,19,.895,15,20,35,9,3,1,5,23,67,gordoaa01
48,RJ Barrett,SG,22,NYK,4,4,133,23,55,.418,4,20,.200,19,35,.543,.455,16,22,.727,3,14,17,10,6,1,3,8,66,barrerj01
49,Spencer Dinwiddie,PG,29,BRK,4,4,159,22,51,.431,7,18,.389,15,33,.455,.500,15,22,.682,1,12,13,26,5,1,12,7,66,dinwisp01
50,Domantas Sabonis,C,26,SAC,4,4,146,27,56,.482,0,2,.000,27,54,.500,.482,11,18,.611,14,34,48,18,6,2,15,13,65,sabondo01
51,Malcolm Brogdon,PG,30,BOS,5,0,126,24,54,.444,6,20,.300,18,34,.529,.500,9,12,.750,4,16,20,22,1,1,6,8,63,brogdma01
52,Torrey Craig,SF,32,PHO,5,5,127,22,34,.647,10,18,.556,12,16,.750,.794,8,9,.889,5,13,18,5,3,1,2,17,62,craigto01
53,Mike Conley,PG,35,MIN,5,5,183,20,42,.476,10,22,.455,10,20,.500,.595,10,11,.909,2,11,13,32,3,0,7,11,60,conlemi01
54,Joel Embiid,C,28,PHI,3,3,108,18,39,.462,1,8,.125,17,31,.548,.474,23,24,.958,4,30,34,12,3,7,15,10,60,embiijo01
55,Jordan Poole,PG,23,GSW,4,2,91,17,45,.378,5,21,.238,12,24,.500,.433,20,23,.870,3,8,11,12,5,1,5,7,59,poolejo01
56,Julius Randle,PF,28,NYK,4,4,127,21,65,.323,8,31,.258,13,34,.382,.385,9,14,.643,6,22,28,9,4,1,14,9,59,randlju01
57,Caris LeVert,SG,28,CLE,4,2,132,21,50,.420,9,29,.310,12,21,.571,.510,7,11,.636,3,15,18,9,1,1,5,7,58,leverca01
58,D'Angelo Russell,PG,26,LAL,4,4,126,21,57,.368,9,29,.310,12,28,.429,.447,7,7,1.000,3,13,16,21,2,0,9,15,58,russeda01
59,Bruce Brown,SG,26,DEN,5,0,135,22,41,.537,3,14,.214,19,27,.704,.573,10,11,.909,3,17,20,12,6,2,9,11,57,brownbr01
60,Josh Hart,SG,27,NYK,4,1,128,21,35,.600,5,9,.556,16,26,.615,.671,7,9,.778,9,18,27,5,6,0,10,11,54,hartjo01
61,Caleb Martin,PF,27,MIA,4,0,112,18,28,.643,7,15,.467,11,13,.846,.768,11,13,.846,4,20,24,9,5,0,5,11,54,martica02
62,Terance Mann,SG,26,LAC,5,0,133,19,33,.576,9,19,.474,10,14,.714,.712,6,9,.667,7,9,16,11,4,1,9,17,53,mannte01
63,Harrison Barnes,PF,30,SAC,4,4,135,19,45,.422,5,20,.250,14,25,.560,.478,9,13,.692,8,9,17,4,6,0,0,4,52,barneha02
64,Kentavious Caldwell-Pope,SG,29,DEN,5,5,165,19,44,.432,8,22,.364,11,22,.500,.523,6,7,.857,2,12,14,7,6,2,6,12,52,caldwke01
65,John Collins,PF,25,ATL,5,5,135,20,52,.385,8,28,.286,12,24,.500,.462,4,5,.800,6,16,22,5,1,4,7,11,52,collijo01
66,Eric Gordon,SG,34,LAC,5,5,149,18,44,.409,10,29,.345,8,15,.533,.523,5,6,.833,1,6,7,13,3,2,4,12,51,gordoer01
67,Grayson Allen,SG,27,MIL,4,4,123,17,34,.500,12,24,.500,5,10,.500,.676,4,5,.800,1,7,8,6,2,0,4,4,50,allengr01
68,Bobby Portis,PF,27,MIL,4,2,91,20,39,.513,5,17,.294,15,22,.682,.577,3,3,1.000,9,28,37,6,3,2,4,15,48,portibo01
69,Robert Williams,C,25,BOS,5,0,120,21,24,.875,0,0,,21,24,.875,.875,5,7,.714,10,30,40,9,4,5,7,14,47,williro04
70,Duncan Robinson,SF,28,MIA,4,1,86,16,24,.667,13,17,.765,3,7,.429,.938,1,1,1.000,0,13,13,6,1,0,5,3,46,robindu01
71,Ivica Zubac,C,25,LAC,5,5,130,17,30,.567,0,0,,17,30,.567,.567,12,16,.750,16,32,48,3,3,1,11,8,46,zubaciv01
72,Dillon Brooks,SF,27,MEM,4,4,112,17,51,.333,6,27,.222,11,24,.458,.392,5,7,.714,2,10,12,9,1,0,5,15,45,brookdi01
73,Jarrett Allen,C,24,CLE,4,4,155,20,30,.667,0,0,,20,30,.667,.667,3,6,.500,13,20,33,8,4,5,3,6,43,allenja01
74,Bones Hyland,PG,22,LAC,5,0,82,15,44,.341,5,20,.250,10,24,.417,.398,8,10,.800,1,3,4,4,4,1,4,9,43,hylanbo01
75,De'Anthony Melton,PG,24,PHI,4,0,102,15,35,.429,9,23,.391,6,12,.500,.557,4,6,.667,6,3,9,8,5,2,3,6,43,meltode01
76,Evan Mobley,PF,21,CLE,4,4,149,20,42,.476,0,1,.000,20,41,.488,.476,3,4,.750,14,27,41,6,3,5,9,13,43,mobleev01
77,Gabe Vincent,PG,26,MIA,4,4,101,16,36,.444,10,21,.476,6,15,.400,.583,1,3,.333,2,3,5,19,3,0,11,10,43,vincega01
