,Date,Visitor/Neutral,Home/Neutral
0,2023-10-24,LAL,DEN
1,2023-10-24,PHX,GSW
2,2023-10-25,HOU,ORL
3,2023-10-25,BOS,NYK
4,2023-10-25,WAS,IND
5,2023-10-25,ATL,CHA
6,2023-10-25,DET,MIA
7,2023-10-25,MIN,TOR
8,2023-10-25,CLE,BKN
9,2023-10-25,NOP,MEM
10,2023-10-25,OKC,CHI
11,2023-10-25,SAC,UTA
12,2023-10-25,DAL,SAS
13,2023-10-25,POR,LAC
14,2023-10-26,PHI,MIL
15,2023-10-26,PHX,LAL
16,2023-10-27,DEN,MEM
17,2023-10-27,DET,CHA
18,2023-10-27,NYK,ATL
19,2023-10-27,OKC,CLE
20,2023-10-27,MIA,BOS
21,2023-10-27,TOR,CHI
22,2023-10-27,HOU,SAS
23,2023-10-27,BKN,DAL
24,2023-10-27,LAC,UTA
25,2023-10-27,ORL,POR
26,2023-10-27,GSW,SAC
27,2023-10-28,CHI,DET
28,2023-10-28,MEM,WAS
29,2023-10-28,NYK,NOP
30,2023-10-28,IND,CLE
31,2023-10-28,PHI,TOR
32,2023-10-28,MIA,MIN
33,2023-10-28,UTA,PHX
34,2023-10-29,DEN,OKC
35,2023-10-29,GSW,HOU
36,2023-10-29,ATL,MIL
37,2023-10-29,POR,PHI
38,2023-10-29,SAS,LAC
39,2023-10-29,LAL,SAC
40,2023-10-30,CHI,IND
41,2023-10-30,BOS,WAS
42,2023-10-30,BKN,CHA
43,2023-10-30,POR,TOR
44,2023-10-30,MIN,ATL
45,2023-10-30,DAL,MEM
46,2023-10-30,MIA,MIL
47,2023-10-30,GSW,NOP
48,2023-10-30,DET,OKC
49,2023-10-30,UTA,DEN
50,2023-10-30,ORL,LAL
51,2023-10-31,NYK,CLE
52,2023-10-31,SAS,PHX
53,2023-10-31,ORL,LAC
0,2023-11-01,POR,DET
1,2023-11-01,MIL,TOR
2,2023-11-01,WAS,ATL
3,2023-11-01,IND,BOS
4,2023-11-01,BKN,MIA
